CANDIDATS,REMPLACANTS,PARTIS,VOIX OBTENUES 1er tour,VOIX OBTENUES 2d tour,% DE VOIX OBTENUES 1er tour,% DE VOIX OBTENUES 2d tour,canton,participation
Bernard BOSJEAN Monique ROBIN,Jean-David EYQUEM Ying CAI,Front National ,5695,5893, 33.33%,31.87 % ,Nord-Libournais,53.41 % 
,,,,,,,,
Jean-Claude ABANADES Chantal DUGOURD,Jérôme COSNARD Catherine BUORO,Union de la Droite,5059,5958, 29.61%,32.22 % ,Nord-Libournais,53.41 % 
,,,,,,,,
Michelle LACOSTE Alain MAROIS,Chantal GANTCH Alain PAIGNE,Parti Socialiste,5024,6641, 29.40%,35.91% ,Nord-Libournais,53.41 % 
,,,,,,,,
Eliane GARBISO Sébastien LABORDE,Marie-Laurence ARNAUD Ghislain LANAU,Front de Gauche,1309,, 7.66%,,Nord-Libournais,53.41 % 
,,,,,,,,
Jean-Jacques EROLES Yvette MAUPILÉ,Dominique DUCASSE May ANTOUN,Union de la Droite,7091,9500, 48.86%,72.38% ,Teste-de-Buch,49.78 % 
,,,,,,,,
Thérèse MAILLE Dominique PIERRE,Claudine LAMBERT Franck BONADEI,Divers,699,, 4.82%,,Teste-de-Buch,49.78 % 
,,,,,,,,
Lydie CROIZIER Laurent LAMARA,Mireille CONSTANS Jean-Charles HABRAN,Front National,3351,3625, 23.09%,27.62% ,Teste-de-Buch,49.78 % 
,,,,,,,,
Nathalie ANGE Guy ETCHESSAHAR,Sylvie GARCIA Jean-Philippe LEFRANC,Front de Gauche,678,, 4.67%,,Teste-de-Buch,49.78 % 
,,,,,,,,
Vital BAUDE Mireille GUÉNÉE,Jean-Louis SIMON Alexandra PAMIES,Europe-Ecologie-Les Verts,2693,, 18.56%,,Teste-de-Buch,49.78 % 
,,,,,,,,
Valérie DUCOUT Xavier LORIAUD,Anne-Marie VERIT Didier BAYARD,Union de la Droite,4781,5931, 32.07%,37.41% ,Estuaire,52.31 % 
,,,,,,,,
Patricia MERCHADOU Raymond RODRIGUEZ,Annie PELISSON Jean-Marc LAPOUMEROULIE,Front de Gauche,1565,, 10.50%,,Estuaire,52.31 % 
,,,,,,,,
Bernard BOURNAZEAU Nathalie JUNIN,Thierry BODIN Lydia HERAUD,Union de la Gauche,3850,5187, 25.82%,32.72% ,Estuaire,52.31 % 
,,,,,,,,
Martine BARTHE Pierre DINET,Karine JANICOT Jean-Luc FRAIGNEAU,Front National,4713,4735, 31.61%,29.87% ,Estuaire,52.31 % 
,,,,,,,,
Françoise BEYSSEN Yves SULTANA,Renée GUICHENE Francis DANTHEZ,Divers,1144,, 7.67%,,Nord-Médoc,50.71 % 
,,,,,,,,
Sonia COLEMYN Grégoire DE FOURNAS,Christine EHIDEIGER Dominique VASSEUR,Front National,5668,7707, 38.02%,50.48% ,Nord-Médoc,50.71 % 
,,,,,,,,
Charlotte FARGEOT Miguel MORENO,Sabrina HOSTIOU Gauillaume FARGEOT,Divers,187,, 1.25%,,Nord-Médoc,50.71 % 
,,,,,,,,
Mireille BOSQ Jean-Bernard DUFOURD,Marie-Suzanne ODDOS Joël CAZAUBON,Union de la Droite,2932,, 19.67%,,Nord-Médoc,50.71 % 
,,,,,,,,
Tony LAMBERT Huguette SCEMAMA,Philippe DALLE Martine HOSTIER,Debout la France,346,, 2.32%,,Nord-Médoc,50.71 % 
,,,,,,,,
Fanny AUDARD Segundo CIMBRON,Claudine RIEUX Emmanuel ROUDIER,Divers gauche,1247,, 8.36%,,Nord-Médoc,50.71 % 
,,,,,,,,
Bernard GUIRAUD Michelle SAINTOUT,Alain BOUCHON Danièle MERIAN,Union de la Gauche,3384,7560, 22.70%,49.52% ,Nord-Médoc,50.71 % 
,,,,,,,,
Gonzague MALHERBE Anne-Christine ROYAL,Guy SUGNY Julie RECHAGNEUX,Front National,5254,5494, 29.86%,29.13% ,Libournais-Fronsadais,50.24 % 
,,,,,,,,
Martine FRÉTIER Angel MARTINEZ,Marie-Anne DOMENS Antoine HUERTA,Europe-Ecologie-Les Verts,1173,, 6.67%,,Libournais-Fronsadais,50.24 % 
,,,,,,,,
Patrick AUBISSE Maryse MONTANGON,Alain MATHIEU Marie-Christine DEDIEU,Front de Gauche,1032,, 5.86%,,Libournais-Fronsadais,50.24 % 
