STATISTIQUES ETAT CIVIL PAR ANNEE;;;;;;
ANNEES; NAISSANCES ;RECONNAISSANCES;MARIAGES;PACS;DECES;TRANSCRIPTIONS DECES
2000;0;52;38;0;26;51
2001;0;54;33;0;37;53
2002;0;67;36;0;45;49
2003;0;57;27;0;25;54
2004;1;64;40;0;25;37
2005;0;91;35;0;41;63
2006;0;65;41;0;33;45
2007;0;51;35;0;43;46
2008;0;43;43;0;45;48
2009;2;32;51;0;33;57
2010;0;18;59;0;45;49
2011;0;22;45;0;33;58
2012;1;22;42;0;50;54
2013;1;27;35;0;37;62
2014;1;29;29;0;44;52
2015;2;21;43;0;47;64
2016;1;24;21;0;41;73
2017;0;24;28;7;44;68
2018;0;30;46;47;96;94
