FID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,RD,OBSERVATIO,Date_donne,Fin_inonda
1,45 D0702,3,550,7,262,3514,7270,702,",",1464739200000,_
2,45 D0125,0,500,8,0,500,8230,125,",",1464652800000,_
3,45 D0011,3,150,3,250,3193,3293,11,",",1464825600000,_
4,45 D0963,12,500,13,500,12503,13505,963,",",1464652800000,_
5,45 D2701,2,0,2,100,2046,2146,2701,Ouvert dans le sens ouest-est,1464652800000,_
6,45 D0039,8,0,10,0,8017,10020,39,",",1464998400000,_
7,45 D0146,10,0,10,100,10090,10190,146,",",1464912000000,_
8,45 D0019,3,500,4,500,2681,3671,19,",",1464825600000,_
9,45 D0411,0,700,1,400,700,1385,411,",",1464739200000,_
10,45 D0015,9,500,10,100,9533,10122,15,",",1464739200000,_
11,45 D0520,3,900,4,100,3900,4100,520,Trémie fermée - Bretelles ouvertes,1464652800000,_
12,45 D0012,11,820,20,150,11964,20368,12,",",1464739200000,_
13,45 D0831,0,300,0,400,300,400,831,",",1464739200000,_
14,45 D0064,8,0,9,0,8052,9054,64,",",1464652800000,_
15,45 D0835,6,700,6,800,6697,6797,835,",",1464652800000,_
16,45 D0115,10,250,10,350,10365,10465,115,",",1464912000000,_
17,45 D0009,13,0,15,0,13062,15065,9,",",1464652800000,_
18,45 D0557,3,100,3,500,3100,3500,557,Déviation dans les 2 sens via rue du Paradis et la route nationale,1464652800000,_
19,45 D0107,7,0,9,0,6553,8572,107,",",1464652800000,_
20,45 D0036,12,500,14,0,12545,14049,36,",",1464652800000,_
21,45 D0123,6,300,6,400,5731,5831,123,",",1464652800000,_
22,45 D0034,0,0,4,300,0,4331,34,",",1464652800000,_
23,45 D0948,1,0,1,200,1145,1345,948,",",1464825600000,_
24,45 D0040,0,0,1,300,0,1327,40,",",1464825600000,_
25,45 D0963,5,0,5,100,4999,5099,963,",",1464652800000,_
26,45 D0032,0,0,4,0,0,3881,32,",",1464652800000,_
27,45 D0845,3,500,3,600,3282,3382,845,",",1464739200000,_
28,45 D0102,0,0,4,0,0,4027,102,",",1464652800000,_
29,45 D0017,17,0,17,100,17101,17201,17,",",1464739200000,_
30,45 D0835,0,200,0,700,200,700,835,",",1464652800000,_
31,45 D0115,4,0,4,100,4005,4105,115,",",1464912000000,_
32,45 D0018,3,400,3,600,3360,3560,18,",",1464739200000,_
33,45 D0162,4,0,8,0,3982,7990,162,",",1464652800000,_
34,45 D0121,1,0,9,0,986,9060,121,",",1464825600000,_
35,45 D0315,3,950,4,50,3940,4028,315,",",1464912000000,_
36,45 D0816,0,0,3,0,0,3021,816,",",1464652800000,_
37,45 D0032,19,0,24,0,19467,24411,32,",",1464652800000,_
38,45 D0963,2,0,3,0,2002,3002,963,",",1464652800000,_
39,45 D0083,10,0,10,100,10136,10236,83,",",1464652800000,_
40,45 D0836,3,650,3,750,3511,3611,836,",",1464825600000,_
41,45 D0015,22,500,22,800,22651,22951,15,",",1464739200000,_
42,45 D0740,1,0,1,200,997,1197,740,",",1464825600000,_
43,45 D0055,20,200,20,215,20261,20276,55,",",1464652800000,_
44,45 D0162,9,300,9,400,9288,9388,162,",",1464912000000,_
45,45 D0094,4,0,4,100,4000,4100,94,",",1464652800000,_
46,45 D0097,20,0,20,100,19249,19349,97,",",1464652800000,_
47,45 D0032,18,100,18,200,18567,18667,32,",",1464912000000,_
48,45 D0163,7,0,7,100,7013,7113,163,",",1464652800000,_
49,45 D0041,33,0,35,0,33044,35048,41,",",1464652800000,_
50,45 D0809,0,0,2,0,0,2000,809,",",1464825600000,_
51,45 D2007,0,0,3,0,0,3010,2007,",",1464652800000,_
52,45 D0027,7,0,7,100,7079,7179,27,",",1464739200000,_
53,45 D0935,3,0,8,0,3007,7967,935,",",1464912000000,_
54,45 D0142,0,500,0,600,500,600,142,",",1464739200000,_
55,45 D0034,5,0,7,500,5039,7541,34,",",1464652800000,_
56,45 D0315,9,0,9,100,9015,9115,315,",",1464739200000,_
57,45 D0011,17,0,17,500,17164,17664,11,",",1464652800000,_
58,45 D0921,47,500,48,0,45934,46442,921,",",1464652800000,_
59,45 D0043,1,700,1,800,1677,1777,43,",",1464652800000,_
60,45 D0127,2,0,2,100,2021,2121,127,",",1464652800000,_
61,45 D0064,0,500,0,600,500,600,64,",",1464652800000,_
62,45 D0627,0,0,0,500,0,500,627,",",1464825600000,_
63,45 D0102,4,0,8,900,4027,8954,102,",",1464825600000,_
64,45 D900772,1,0,3,300,0,950,900772,",",1464652800000,_
65,45 D0041,10,0,11,0,9968,11039,41,",",1464652800000,_
66,45 D0293,0,0,1,150,0,1214,293,",",1464652800000,_
67,45 D0167,0,0,2,0,0,2004,167,",",1464652800000,_
68,45 D0097,8,0,13,0,7117,12198,97,",",1464652800000,_
69,45 D0094,1,800,2,100,1789,2114,94,",",1464825600000,_
70,45 D0424,2,0,4,0,2030,4055,424,",",1464652800000,_
71,45 D0034,9,0,15,0,9041,15041,34,",",1464652800000,_
72,45 D0926,0,190,2,300,190,2300,926,Pont sur la Loire fermé,1464652800000,_
73,45 D0502,0,0,2,615,0,2590,502,",",1464825600000,_
74,45 D0115,5,0,6,0,5097,6097,115,",",1464652800000,_
75,45 D0940,15,900,16,100,15939,16171,940,",",1464652800000,_
76,45 D0062,2,0,3,610,3534,5172,62,",",1464652800000,_
77,45 D0240,0,0,0,100,0,100,240,",",1464912000000,_
78,45 D0115,2,0,2,100,2000,2100,115,",",1464912000000,_
