OBJECTID,NOM,ID_IA45,ADRESSE,CODE_INSEE,CODE_POSTAL,COMMUNE,TYPE_ETAB,VALIDITE,PLACEMENT,X,Y,TELEPHONE,SITES_INTERNET
1,Ecole primaire publique Clos Vinot,0450556K,255 rue Frédéric-Chopin,45004,45200,AMILLY,Ecole primaire publique,Juillet 2012,Manuel,682699.5,6763908.9,02 38 28 76 76,http://www.education.gouv.fr/annuaire/45-loiret/amilly/etab/ecole-primaire-publique-clos-vinot.html
2,Ecole primaire publique Les Goths,0450558M,54 Rue du Pont d'Ardan,45004,45200,AMILLY,Ecole primaire publique,Juillet 2012,Géocodage,685498.5,6765179.4,02 38 85 39 78,http://www.education.gouv.fr/annuaire/45-loiret/amilly/etab/ecole-primaire-publique-les-goths.html
3,Ecole primaire publique Viroy,0451536A,160 Rue Aristide Briand,45004,45200,AMILLY,Ecole primaire publique,Juillet 2012,Géocodage,681664.9,6766272.1,02 38 85 36 54,http://www.education.gouv.fr/annuaire/45-loiret/amilly/etab/ecole-primaire-publique-viroy.html
4,Ecole primaire publique Saint-Firmin-des-Vignes,0450923J,68 rue des écoles,45004,45200,AMILLY,Ecole primaire publique,Juillet 2012,Manuel,682699.5,6763908.9,02 38 85 12 44,http://www.education.gouv.fr/annuaire/45-loiret/amilly/etab/ecole-primaire-publique-saint-firmin-des-vignes.html
5,Ecole primaire publique,0450371J,109 Route de la Ferté,45006,45160,ARDON,Ecole primaire publique,Juillet 2012,Manuel,615747.4,6743052.3,02 38 45 85 65,http://www.education.gouv.fr/annuaire/45-loiret/ardon/etab/ecole-primaire-publique.html
6,Ecole primaire publique,0450917C,9 Mail Ouest,45008,45410,ARTENAY,Ecole primaire publique,Juillet 2012,Géocodage,616417.25,6776532.85,02 38 80 00 82,http://www.education.gouv.fr/annuaire/45-loiret/artenay/etab/ecole-primaire-publique.html
7,Ecole primaire publique,0450868Z,31 Grande Rue,45009,45170,ASCHERES LE MARCHE,Ecole primaire publique,Juillet 2012,Géocodage,626186.6,6779064.4,02 38 39 23 61,http://www.education.gouv.fr/annuaire/45-loiret/ascheres-le-marche/etab/ecole-primaire-publique.html
8,Ecole primaire publique,0450646H,30 Rue de la Mi-voie,45010,45300,ASCOUX,Ecole primaire publique,Juillet 2012,Géocodage,644097,6781152.8,02 38 33 01 97,http://www.education.gouv.fr/annuaire/45-loiret/ascoux/etab/ecole-primaire-publique.html
9,Ecole primaire publique,0450632T,9 Rue de la Vallée,45014,45390,AULNAY LA RIVIERE,Ecole primaire publique,Juillet 2012,Géocodage,653835.4,6788535.7,02 38 33 92 38,http://www.education.gouv.fr/annuaire/45-loiret/aulnay-la-riviere/etab/ecole-primaire-publique.html
10,Ecole primaire publique,0451026W,2 Rue des Essarts,45015,45480,AUTRUY SUR JUINE,Ecole primaire publique,Juillet 2012,Géocodage,633198.5,6797659.1,02 38 32 52 16,http://www.education.gouv.fr/annuaire/45-loiret/autruy-sur-juine/etab/ecole-primaire-publique.html
11,Ecole primaire publique Grands,0450195T,Rue de la Mairie,45016,45500,AUTRY LE CHATEL,Ecole primaire publique,Juillet 2012,Géocodage,669942.3,6722548.3,02 38 36 82 62,http://www.education.gouv.fr/annuaire/45-loiret/autry-le-chatel/etab/ecole-primaire-publique-des-grands.html
12,Ecole primaire publique Petits,0450749V,Route de Châtillon,45016,45500,AUTRY LE CHATEL,Ecole primaire publique,Juillet 2012,Manuel,670042.7,6722201.9,02 38 36 81 88,http://www.education.gouv.fr/annuaire/45-loiret/autry-le-chatel/etab/ecole-primaire-publique-des-petits.html
13,Ecole primaire publique,0450378S,113 Rue de Mocquesouris,45019,45130,BACCON,Ecole primaire publique,Juillet 2012,Géocodage,597460.5,6755322.5,02 38 80 78 00,http://www.education.gouv.fr/annuaire/45-loiret/baccon/etab/ecole-primaire-publique.html
14,Ecole primaire publique,0450694K,6 Place de la Mairie,45022,45340,BATILLY EN GATINAIS,Ecole primaire publique,Juillet 2012,Géocodage,653881.8,6774972.9,02 38 33 29 40,http://www.education.gouv.fr/annuaire/45-loiret/batilly-en-gatinais/etab/ecole-primaire-publique.html
15,Ecole primaire publique Les Plésses,0451356E,4 Rue Pierre Gailly,45024,45130,BAULE,Ecole primaire publique,Juillet 2012,Géocodage,600703.15,6746328.45,02 38 44 39 20,http://www.education.gouv.fr/annuaire/45-loiret/baule/etab/ecole-primaire-publique-les-plesses.html
16,Ecole primaire publique,0450920F,2 Rue du Jeu de Paume,45025,45480,BAZOCHES LES GALLERANDES,Ecole primaire publique,Juillet 2012,Géocodage,628919.7,6785400.25,02 38 39 41 08,http://www.education.gouv.fr/annuaire/45-loiret/bazoches-les-gallerandes/etab/ecole-primaire-publique.html
17,Ecole primaire publique,0450567X,8 Rue des Etangs,45026,45210,BAZOCHES SUR LE BETZ,Ecole primaire publique,Juillet 2012,Géocodage,700469.15,6779543.45,02 38 96 81 72,http://www.education.gouv.fr/annuaire/45-loiret/bazoches-sur-le-betz/etab/ecole-primaire-publique.html
18,Ecole primaire privée Notre-Dame,0451543H,15 rue Porte Tavers,45028,45190,BEAUGENCY,Ecole primaire privée,Juillet 2012,Géocodage,597503.1,6742530.7,02 38 46 94 15,http://www.education.gouv.fr/annuaire/45-loiret/beaugency/etab/ecole-primaire-privee-notre-dame.html
19,Ecole primaire publique Du Mail,0450857M,2 Rue Bernasse,45028,45190,BEAUGENCY,Ecole primaire publique,Juillet 2012,Géocodage,597277,6742702.5,02 38 44 55 61,http://www.education.gouv.fr/annuaire/45-loiret/beaugency/etab/ecole-primaire-publique-mail.html
20,Ecole primaire publique Vallée du Rû,0450883R,10 Rue Julie Lour,45028,45190,BEAUGENCY,Ecole primaire publique,Juillet 2012,Géocodage,596940.1,6743558.05,02 38 44 55 38,http://www.education.gouv.fr/annuaire/45-loiret/beaugency/etab/ecole-primaire-publique-de-la-vallee-du-r.html
21,Ecole primaire publique Des Chaussées,0451312G,1 Rue de la Pierre Blanche,45028,45190,BEAUGENCY,Ecole primaire publique,Juillet 2012,Géocodage,596280.1,6743208.2,02 38 44 80 51,http://www.education.gouv.fr/annuaire/45-loiret/beaugency/etab/ecole-primaire-publique-les-chaussees.html
