OBJECTID_1,OBJECTID,COD_ITIN,COMENT,DAT_DVAL,NOM,LIEN_FH,FICHE_PDF,FICHE_HORA
1,3882,2220 Mer R,"SSS
",20151012,2220 Mer R,2220,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2220 Mer R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2220.pdf
2,3903,5301p R,"SSS
",20160222,5301p R,5301p,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/5301p R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/5301p.pdf
3,3912,2706,SSS,20060902,2706,2706,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2706.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2706.pdf
4,3913,401p R,SSS - CAR=21,20060214,401p R,401p,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/401p R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/401p.pdf
5,3925,902,SSS,20130903,902,902,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/902.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/902.pdf
6,3944,2103 Mer R,SSS,20121008,2103 Merc R,2103,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2103 Mer R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2103.pdf
7,4000,1301pR,"SSS
",20160104,1301pR,1301p,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/1301pR.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/1301p.pdf
8,4018,5202p,SSS,20140902,5202p,5202p,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/5202p.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/5202p.pdf
9,4032,2702pR,SSS,20130903,2702pR,2702P,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2702pR.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2702P.pdf
10,4074,9939,SSS,20150901,9939,9939,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/9939.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/9939.pdf
11,4089,9904 R,"SSS
",20151116,9904 R,9904,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/9904 R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/9904.pdf
12,4090,9905 Mer R,"SSS
",20151116,9905 Mer R,9905,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/9905 Mer R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/9905.pdf
13,4112,403,SSS,20111003,403,403,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/403.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/403.pdf
14,4153,3904 R,"SSS - Car = 7
",20150109,3904 R,3904,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/3904 R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/3904.pdf
15,4175,2002Merc R,"SSS
",20150902,2002 Mer R,2002,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2002Merc R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2002.pdf
16,4179,1603 R,"SSS
",20150921,1603 R,1603,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/1603 R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/1603.pdf
17,4231,1104,SSS,20110905,1104,1104,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/1104.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/1104.pdf
18,4255,2705R,SSS,20130903,2705 R,2705,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2705R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2705.pdf
19,4273,3009 R,SSS,20141006,3009 R,3009,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/3009 R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/3009.pdf
20,4286,2008,"SSS
",20150928,2008,2008,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2008.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2008.pdf
21,4310,901-p R,SSS - Car = 207,20080308,901-p R,901-p,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/901-p R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/901-p.pdf
22,4342,2105,SSS,20130903,2105,2105,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/2105.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/2105.pdf
23,4344,3104 R,SSS,20130903,3104 R,3104,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/3104 R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/3104.pdf
24,4420,412R,SSS,20100902,412R,412,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/412R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/412.pdf
25,4472,1601,"SSS
",20150921,1601,1601,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/1601.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/1601.pdf
26,4477,9909 R,"SSS
",20151116,9909 R,9909,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/9909 R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/9909.pdf
27,4493,106a,"SSS
",20160125,106a,106a,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/106a.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/106a.pdf
28,4504,3905 R,SSS,20080902,3905 R,3905,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/3905 R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/3905.pdf
29,4505,1002,SSS,20050101,1002,1002,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/1002.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/1002.pdf
30,4548,4005 Mer R,SSS,20141119,4005 Mer R,4005,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/4005 Mer R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/4005.pdf
31,4552,3009 Mer R,SSS,20141006,3009 Mer R,3009,http://wgs-users.s3.amazonaws.com/cg45/2014/Services_aux_Habitants/Mes_Services_au_quotidien/Le_reseau_mobilite/Les_itineraires/Fiches_carto/3009 Mer R.pdf,http://www.ulys-loiret.com/upload/fiches_horaires_scolaires/3009.pdf
