BP 2018;Fonctionnement;Dépenses;Recettes
Vote;Crédit de fonctionnement votés au titre du présent budget;44951518;44951519
Reports;Restes à réaliser (R.A.R.) de l'exercice précédent;0;0
Reports;Résultat de Fonctionnement reporté;0;0
;Total de la section Fonctionnement;44951518;44951518
;;;
BP 2018;Investissement;Dépenses;Recettes
Vote;Crédits de Fonctionnement  votés au titre du présent budget;14960914;14960914
Reports;Restes à réaliser (R.A.R.) de l'exercice précédent;0;0
Reports;Solde d'exécution de la section Investissement reporté;0;0
;Total de la section Investissement;14960914;14960914
;;;
;TOTAL DU BUDGET;59912432;59912432
