X,Y,OBJECTID,ID_CANI,ID_COMM,LIEU,ADRESSE
799786.085600004,6873832.0089,1,C001,Châlons-en-Champagne,Accueil Hôtel de Ville,Place Foch
799814.299800001,6873790.1284,2,C002,Châlons-en-Champagne,Accueil Service de la Ville,Rue d'Orfeuil
799820.471699998,6873850.5245,3,C003,Châlons-en-Champagne,Service Communal Hygiène et Santé,Place Godart
798413.589400001,6873001.2301,4,C004,Châlons-en-Champagne,Mairie Annexe,"24, rue Henri Dunant"
799600.504799999,6873800.6631,5,C005,Châlons-en-Champagne,Office de tourisme,"3, Quai des Arts"
797598.908699997,6874484.1205,6,C006,Fagnières,Association châlonnaise de protection des animaux,Chemin du Platier
801093.856799997,6871977.9568,7,C007,Châlons-en-Champagne,Club Canin,"150B, avenue des Alliés"
801042.075300001,6874669.7936,8,C008,Châlons-en-Champagne,Centre Social et Culturel Vallée Saint-Pierre,"1, rue Jean-Sébastien Bach"
799271.049000002,6875200.1519,9,C009,Châlons-en-Champagne,Centre Social et Culturel Emile Schmit,"75, rue Emile Schmit"
798411.030400001,6873003.5814,11,C011,Châlons-en-Champagne,Centre Social et Culturel Rive Gauche - Dunant,"24, rue Henri Dunant"
800387.578699999,6872397.1571,13,C013,Châlons-en-Champagne,Centre Social et Culturel Verbeau,Rue Georges Barbier
799554.7421,6873833.9503,14,C014,Châlons-en-Champagne,Société Nationale Immobilière (S.N.I),"5, Place des 4 Fils Aymon"
799755.685199998,6873941.0757,15,C015,Châlons-en-Champagne,PluriHabitat - Effort Remois,"5, Quai Barbat"
800582.719899997,6873645.8122,16,C016,Châlons-en-Champagne,Renaissance Immobilière Châlonnaise (R.I.C),"55, Boulevard Hippolyte Faure"
801086.924699999,6871689.3579,17,C017,Châlons-en-Champagne,Bibliothèque Diderot,"11, rue du Groupe Libération Nord"
799450.936499998,6875027.8771,18,C018,Châlons-en-Champagne,Châlons-en-Champagne Habitat Antenne Schmit,"27, rue Emile Schmit"
800408.813299999,6872527.0001,19,C019,Châlons-en-Champagne,Châlons-en-Champagne Habitat Antenne Verbeau,"15, avenue du 29 août 1944"
798466.705499999,6872985.7141,20,C020,Châlons-en-Champagne,Châlons-en-Champagne Habitat Antenne Bidée,"20, rue Henri Dunant"
798033.096699998,6872940.9113,21,C021,Châlons-en-Champagne,ICF Nord-Est,Square Resistance Fer
801313.729999997,6871499.8049,417,C022,Châlons-en-Champagne,Camping Municipal,Rue de Plaisance
799283.842600003,6873608.7587,418,C023,Châlons-en-Champagne,Relais Nautique,Boulevard Victor Hugo
802086.244400002,6872949.257,419,C024,Châlons-en-Champagne,Terranimo,Avenue Marc Hamet
802257.1655,6872252.6077,420,C025,Châlons-en-Champagne,Jardiland,Z.A.C des Escarnotières
799179.843500003,6874426.7197,421,C026,Châlons-en-Champagne,Cercle Vert,"43, Chaussée du Port"
