OBJECTID,TOURNEE,JOUR,SHAPESTArea,SHAPESTLength
1,E2,Mardi,58296926.8732422,51047.1226026449
2,E5,Vendredi,24673138.7898791,24216.5278724598
3,E2,Mardi,7348183.27907828,16838.556818158
4,E4,Jeudi,18206590.0348968,24002.0096038958
5,E4,Jeudi,3161551.68045563,11119.8097933667
6,E1,Lundi,23340620.5239408,23078.8171933602
7,E4,Jeudi,1503420.19750814,5848.68280372854
8,E3,Mercredi,29595678.8687258,34824.1005113062
9,E6,Samedi,12629889.1632377,17590.9620107398
10,E5,Vendredi,22129700.6048336,30105.6805507153
11,T15,Jeudi des semaines impaires,23851283.6813741,35367.9555196167
12,T16,Vendredi des semaines paires,23573127.785,30853.061412394
14,T11,Jeudi des semaines paires,12788536.1843271,19489.3689035469
15,T13,Vendredi des semaines impaires,21572482.8135093,26740.3751138752
16,T17,Jeudi,109044559.795215,52474.9034342289
21,T18,Vendredi,10481286.64,17782.1999974914
22,T17,Jeudi,165483667.299624,89075.8579700348
28,T18,Vendredi,73411543.8439821,79088.9395225919
33,T18,Vendredi,10234025.00148,18978.2076497284
34,T18,Vendredi,13708676.6318515,19496.0233298705
