Naissances de 1994 a 2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
85;96;99;118;105;113;133;132;149;120;116;149;125;111;121;132;124;126;111;129;118;136;147;141;155
;;;;;;;;;;;;;;;;;;;;;;;;
Mariage de 1994 à 2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
39;40;56;44;49;43;53;45;41;41;40;38;47;44;47;36;45;41;46;42;52;46;39;44;56
;;;;;;;;;;;;;;;;;;;;;;;;
Décès de 1994 à 2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
73;77;76;73;77;75;75;71;67;82;66;68;74;76;68;65;84;85;65;68;94;92;84;76;109
