"Identifiant","Nom","Adresse","Adresse 2","Code postal","Ville","Pays","Longitude","Latitude","Modification"
"193917","Théatre Jacques Coeur","1050 Avenue Léonard de Vinci","","34970","Lattes","FR","3,89962700","43,57476100","17/06/2020 14:18:05"
"193916","Astreinte Police Municipale","Voiture Astreinte","1 avenue de l'Agau","34970","Lattes","FR","3,90522800","43,57174200","16/06/2020 10:32:06"
"193755","Forum de Maurin","134 Rue du Lantissargues","","34970","Lattes","FR","3,87923000","43,56142100","13/07/2020 09:51:49"
"193236","Oustal des Vendanges","Place Henri Auge Boirargues","","34970","Lattes","FR","3,92494300","43,58689300","16/06/2020 10:31:56"
"193235","Foyer Rural Maurin","Place des Arcades Maurin","","34970","Lattes","FR","3,87184700","43,55866300","16/06/2020 10:31:55"
"164912","Gymnase Champollion","Avenue de Figuières","","34970","Lattes","CA","3,93056300","43,58658200","22/09/2020 16:11:31"
"164911","Salle Lattara","607 Avenue de Montpellier","","34970","Lattes","FR","3,90334300","43,56876700","13/07/2020 09:34:59"
"164910","Gymnase G Brassens","Rue de la Roseliere","","34970","Lattes","FR","3,89958700","43,56672900","16/06/2020 10:28:52"
"164909","gymnase de la safer","chemin des jardins de maguelonne","","34970","Lattes","0","3,86937900","43,55648800","18/02/2020 14:20:03"
"164908","Complexe Sportif Courtoujours","149 Rue du Lantissargues","","34970","Lattes","FR","3,87916000","43,55900300","13/07/2020 09:52:01"
"164906","Complexe Sportif de Fangouse","Complexe Sportif de Fangouse Route de Pérols","","34970","Lattes","FR","3,92349700","43,56410600","16/06/2020 10:28:49"
"164905","Palais des Sports de Lattes","2 Rue des Jonquilles","","34970","Lattes","FR","3,90006900","43,56973100","22/09/2020 16:12:33"
