"Identifiant","Nom","Adresse","Adresse 2","Code postal","Ville","Pays","Longitude","Latitude","Modification"
"166531","LES AMIS DE FREGENEUIL","9 Rue Marc Saugnier","","16000","Angouleme","FR","0,14190700","45,65360700","13/10/2020 22:29:04"
"144785","Maison des Habitants","8 Rue St Vincent de Paul","Basseau","16000","Angoulême","FR","0,11521600","45,64835600","06/04/2020 11:05:02"
"144784","Police Municipale (Véhicule Patrouille) 3","6 Place Bouillaud","","16000","Angoulême","FR","0,15549100","45,64835600","28/09/2020 08:54:35"
"144783","Direction de l’Éducation et de la Petite Enfance","111 Rue de Saintes","","16000","Angoulême","FR","0,14371500","45,65846100","06/04/2020 11:06:04"
"144782","Service des Sports (Défibrillateur Mobile)","Bourgines","","16000","Angoulême","FR","0,15905300","45,65925400","29/07/2020 11:40:54"
"144781","Police Municipale (Véhicule Patrouille) 2","Place Bouillaud","","16000","Angoulême","FR","0,15547000","45,64836200","29/07/2020 13:58:05"
"144780","Plaine de Jeux des Trois Chenes (Plaine de Jeux)","Rue Paul Vieille","","16000","Angoulême","FR","0,11650400","45,65522200","18/06/2020 16:24:46"
"144779","Stade Lebon","Rue des Grandes Pièces","","16000","Angoulême","FR","0,17710300","45,64069400","06/04/2020 11:05:30"
"144778","Espace Lunesse","36 - 48 Rue Paul Mairat","","16000","Angoulême","FR","0,17603100","45,65662900","06/04/2020 11:06:03"
"96938","Marche Couvert des Halles","Place des Halles","","16000","Angoulême","FR","0,15769500","45,64969300","28/09/2020 09:02:03"
"96937","Salle du Petit Fresquet","Le Petit Fresquet","","16000","Angoulême","FR","0,14522500","45,66112000","28/09/2020 09:05:54"
"96936","Direction des Sports Ville Angouleme","Ile de Bourgines","","16000","Angoulême","FR","0,15836900","45,65680100","06/04/2020 11:06:03"
"96935","Caj Maison du Temps Libre","Place Henri Chamarre","","16000","Angoulême","FR","0,17252000","45,65437800","06/04/2020 11:06:02"
"96933","Gymnase Abbe Rousselot","Rue Abbé Rousselot","","16000","Angoulême","FR","0,17797900","45,64876400","06/04/2020 11:05:58"
"96932","Mediathèque la Grande Garenne","La Grande Garenne","rue Antoine de St Exupéry","16000","Angoulême","FR","0,12473000","45,64950200","28/09/2020 09:09:01"
"96931","Mediatheque ma Campagne","6 Boulevard Jean Moulin","","16000","Angoulême","FR","0,14956500","45,62989500","28/09/2020 09:09:37"
"96930","Ludotheque Saint Cybard","5 Quai du Halage","","16000","Angoulême","FR","0,14703000","45,65559500","02/06/2020 14:39:39"
"96929","Centre Technique Saint Martin Ville Angouleme","Rue Charles Petit","","16000","Angoulême","FR","0,15195000","45,64408600","28/09/2020 08:14:57"
"96926","Centre Communal D Action Sociale","Place Saint Martial","","16000","Angoulême","FR","0,15922800","45,64912000","28/09/2020 09:13:06"
"96925","Musee du Papier","134 Route de Bordeaux","","16000","Angoulême","FR","0,14978700","45,65342900","28/09/2020 09:14:20"
"96923","Service des Espaces Verts","Rue du Port Thureau","","16000","Angoulême","FR","0,13297000","45,65580700","06/04/2020 11:06:03"
"96921","Direction des Ressources Humaines Ville Angouleme","8 Rue du Père Joseph Wrésinski","","16000","Angoulême","FR","0,16471300","45,64951200","29/07/2020 11:37:56"
"96920","Gymnase Pierre de Coubertin","74 Rue de la Trésorière","Ma Campagne","16000","Angoulême","FR","0,14972700","45,63358900","29/07/2020 11:36:25"
"96919","Salle Omnisports de la Grand Font","La Grand Font","","16000","Angoulême","FR","0,16835900","45,65228400","29/07/2020 11:21:40"
"96914","Gymnase Raymond Denost-Stade Leonide Lacroix","Rue Fontchaudière","","16000","Angoulême","FR","0,15331700","45,65774500","28/09/2020 09:16:45"
"96913","Halle des Sports Ma Campagne","Rue Lacroix Lanauve","","16000","Angoulême","FR","0,16035900","45,63264600","28/09/2020 09:19:57"
"96912","Plaine de Jeux Ma Campagne","Boulevard Jean Moulin","","16000","Angoulême","FR","0,14986800","45,63081000","28/09/2020 09:21:09"
"96911","Stade Chanzy","Boulevard du Colonel Campagne","","16000","Angoulême","FR","0,17317200","45,64327300","29/07/2020 11:17:41"
"96910","Foyer Résidence Moulin des Dames","Rue Moulin des Dames","","16000","Angoulême","FR","0,14475900","45,64840900","29/07/2020 11:16:24"
"96909","Musée des Beaux Arts","Square Girard II","Rue Corneille","16000","Angoulême","FR","0,15236200","45,64930000","28/09/2020 09:23:08"
"96908","Espace Franquin","1 Ter Boulevard Berthelot","","16000","Angoulême","FR","0,16039900","45,64891100","29/07/2020 11:12:41"
"96907","Police Municipale","Place Bouillaud","","16000","Angoulême","FR","0,15529700","45,64852100","28/09/2020 09:24:54"
"96906","Hôtel de Ville -Bim","36 Place de l'Hôtel de Ville","","16000","Angoulême","FR","0,15615100","45,64864800","28/09/2020 09:26:02"
