"Identifiant","Nom","Adresse","Adresse 2","Code postal","Ville","Pays","Longitude","Latitude","Modification"
"145543","Les Halles - Mur Extérieur (basse Ville)","9B Place Hervo","","29300","Quimperlé","FR","-3,54557200","47,87258700","18/05/2020 15:23:17"
"145542","Médiathèque - Mur Extérieur (haute Ville)","18 Place Saint Michel","","29300","Quimperlé","FR","-3,54914600","47,87021000","11/05/2020 11:49:23"
"145541","Terrain de Foot du Parc Rhu","Rue Bellevue","","29300","Quimperlé","FR","-3,54955700","47,87694900","11/05/2020 11:49:21"
"145540","Espace Benoite Groult (salle des Fêtes)","3 Avenue du Coat-kaër","","29300","Quimperlé","FR","-3,55375700","47,87489500","11/05/2020 11:49:20"
"145539","Salle des Arts Martiaux","12 Rue D'arzano","","29300","Quimperlé","FR","-3,53560500","47,86871900","11/05/2020 11:49:18"
"145538","Complexe Sportif Alexis Toulliou","4 Rue de Kervidanou","","29300","Quimperlé","FR","-3,58442200","47,86459000","11/05/2020 11:49:16"
"145537","Stade de Foot Jean Charter","156 Rue de Pont-aven","","29300","Quimperlé","FR","-3,56829700","47,87144300","11/05/2020 11:49:15"
"145536","Club de Tennis","15 Rue de Kerbertrand","","29300","Quimperlé","FR","-3,56736100","47,87243100","11/05/2020 11:49:14"
"145535","Gymnase de Kerneuzec","Place de la Salle Omnisports","","29300","Quimperlé","FR","-3,55479400","47,88245400","11/05/2020 11:49:12"
"145534","Gymnase de Kerjouanneau","4 Rue de Kerjouanneau","","29300","Quimperlé","FR","-3,56104500","47,86743000","11/05/2020 11:49:10"
"145533","Gymnase les Cordiers","12 Boulevard de la Gare","","29300","Quimperlé","FR","-3,55015000","47,86823200","16/10/2020 10:49:18"
