"Identifiant","Nom","Adresse","Adresse 2","Code postal","Ville","Pays","Longitude","Latitude","Modification"
"145755","École De Geilles","Route De Geilles","","01100","Oyonnax","FR","5,66417200","46,24481900","18/03/2020 18:33:10"
"145738","École Jean Jaquot","17 Rue Jules Michelet","","01100","Oyonnax","FR","5,65527200","46,25944700","18/03/2020 18:32:25"
"145737","École Simone Veil","9 Rue Du Maquis","","01100","Oyonnax","FR","5,66010000","46,26188900","18/03/2020 18:32:26"
"145735","École De La Victoire","3 Rue De La Victoire","","01100","Oyonnax","FR","5,65893100","46,25884100","18/03/2020 18:32:25"
"145734","École Lucie Aubrac","9 Rue De Nierme","","01100","Oyonnax","FR","5,65433700","46,25405200","18/03/2020 18:32:25"
"145732","École Louis Armand","42 Rue Louis Armand","","01100","Oyonnax","FR","5,65077900","46,24770800","18/03/2020 18:32:25"
"145731","École Paul Rivet","51 Boulevard Dupuy","","01100","Oyonnax","FR","5,64957500","46,25669200","18/03/2020 18:32:26"
"145730","École Pasteur Nord","9 Rue Edgard Quinet","","01100","Oyonnax","FR","5,65014400","46,25959500","18/03/2020 18:32:26"
"145729","École Daudet","8 Rue Courteline","","01100","Oyonnax","FR","5,64084500","46,25665000","25/08/2020 15:43:27"
"145728","École De La Forge","49 Route De La Forge","","01100","Oyonnax","FR","5,63928800","46,25681900","25/08/2020 15:43:22"
"145727","École De Veyziat","Rue Louis Pergaud","","01100","Veyziat","FR","5,62897100","46,26811100","18/03/2020 18:32:26"
"145600","École De L'Églisette","12 Rue De L'Églisette","","01100","Oyonnax","FR","5,64085500","46,26290900","18/03/2020 18:32:26"
