Section;Sens;Sous Rubrique (Code);Chapitre (Code);Montant du BP (Statistiques)
F;D; ;011;0,00
F;D;812;011;3 600 900,00
F;D;812;012;1 441 868,00
F;D;812;023;171 511,96
F;D;812;042;287 769,00
F;D;812;65;26 873,00
F;D;812;66;0,00
F;D;812;67;12 500,00
F;D;812;68;206 415,00
F;R;812;002;2 837 200,08
F;R;812;013;6 000,00
F;R;812;042;122 261,00
F;R;812;70;894 304,00
F;R;812;73;3 620 498,00
F;R;812;74;348 000,00
F;R;812;75;19 800,00
F;R;812;77;0,00
I;D;812;040;122 261,00
I;D;812;041;0,00
I;D;812;16;0,00
I;D;812;20;114 200,00
I;D;812;21;639 700,00
I;R;812;001;428 585,59
I;R;812;021;171 511,96
I;R;812;040;287 769,00
I;R;812;041;0,00
I;R;812;10;47 200,00
I;R;812;13;0,00
