Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;3 838 816,00;3 428 229,05
F;D;012;1 418 027,00;1 302 574,11
F;D;023;92 001,39;0,00
F;D;042;192 950,00;183 687,60
F;D;65;36 873,00;5 451,00
F;D;66;10,00;8,27
F;D;67;56 652,00;56 027,28
F;D;68;206 210,00;206 210,00
F;R;002;3 338 979,17;3 338 979,17
F;R;013;6 000,00;6 886,24
F;R;042;18 552,00;18 551,71
F;R;70;300 190,00;308 102,34
F;R;73;3 917 387,00;3 925 866,00
F;R;74;324 000,00;405 906,43
F;R;75;0,00;13 683,00
F;R;77;0,00;1 412,50
I;D;040;18 552,00;18 551,71
I;D;041;972,00;0,00
I;D;16;1 000,00;933,33
I;D;20;57 814,00;15 583,20
I;D;204;0,00;0,00
I;D;21;686 557,00;241 881,17
I;D;23;0,00;0,00
I;R;001;465 719,61;465 719,61
I;R;021;92 001,39;0,00
I;R;040;192 950,00;183 687,60
I;R;041;972,00;0,00
I;R;10;0,00;22 990,00
I;R;13;13 252,00;33 137,79
