Compte;Libell‚;Pr‚visions 2019
F;FONCTIONNEMENT;
D;DEPENSE;240000
011;CHARGES A CARACTERE GENERAL;120000
6015;Terrains … am‚nager;100000
6045;Achats ‚tudes, prestations services;10000
608;Frais accessoires sur terrains en cours;10000
042;OPERATIONS D'ORDRE DE TRANSFERT ENTRE SECTIONS;120000
71355;Variation stocks terrains am‚nag‚s;120000
R;RECETTE;240000
70;PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES;120000
7015;Ventes de terrains am‚nag‚s;120000
042;OPERATIONS D'ORDRE DE TRANSFERT ENTRE SECTIONS;120000
71355;Variation stocks terrains am‚nag‚s;120000
I;INVESTISSEMENT;
D;DEPENSE;120000
040;OPERATIONS D'ORDRE DE TRANSFERT ENTRE SECTIONS;120000
3555;Terrains am‚nag‚s;120000
R;RECETTE;120000
040;OPERATIONS D'ORDRE DE TRANSFERT ENTRE SECTIONS;120000
3555;Terrains am‚nag‚s;120000
