;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Effectifs des Ecoles élementaires en 2016-2017;;;;;;;;;;;;
;au 02/09/2016 ;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Effectifs par niveaux en 2016-2017;;;;;;;;;;;Effectif Maximum;Places restantes
;CP;CE1;CE2;CM1;CM2;TOTAL;nbr classes;moyenne;;;;;
Romain Rolland;78;69;78;84;59;368;15;24,53;;;;375;7
Waldeck Rousseau;75;62;73;66;71;347;14;24,79;CLISS;12;;350;3
Paul Langevin;87;82;79;80;70;398;16;24,88;UPE2A;15;;400;2
Victor Hugo;25;30;25;26;21;127;5;25,40;;;;125;-2
TOTAL;265;243;255;256;221;1240;50;24,80;;;;1250;10
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
