Format;Adresse; Player Post'n'go
2m²;Quai Charles-Pasqua angle rue Jules-Guesdes;FR-LEV-LX0012
2m²;Parc de la Libération;FR-LEV-LX0005
2m²;Rue Anatole-France angle rue Baudin;FR-LEV-LX0004
2m²;Rue Baudin angle rue Victor-Hugo;FR-LEV-LX0011
2m²;Rue Paul-Vaillant-Couturier n°94 angle rue Victor-Hugo;FR-LEV-LX0003
2m²;Rond point Claude Monet Ile de la Jatte;FR-LEV-LX0002
2m²;Rue Gabriel-Péri angle Jacques-Ibert;FR-LEV-LX0006
8m²;Rue du Présient Wilson devant n° 2;FR-LEV-LX0013
8m²;Rue Victor-Hugo angle Pablo-Neruda;FR-LEV-LX0014
8m²;Rue Bineau devant n° 2;FR-LEV-LX0016
8m²;Quai Charles-Pasqua devant n°2;FR-LEV-LX0015
;;
;;
;;
;;
