Localisation;Code postal;Ville;Coordonnes GPS
Place Georges-Pompidou;92300;Levallois;48.899050, 2.281422
Place Jean-Zay;92300;Levallois;48.895742, 2.293171
Place du Maréchal Juin;92300;Levallois;48.897953, 2.280322
Place du Général Leclerc;92300;Levallois;48.892027, 2.285122
Place du Maréchal de Lattre-de-Tassigny;92300;Levallois;48.887540, 2.285214
Place André-Citröen;92300;Levallois;48.899168, 2.283743
Place du 11 novembre 1918;92300;Levallois;48.899207, 2.288880
Place du 8 mai 1945;92300;Levallois;48.896615, 2.298098
Place de la Libération;92300;Levallois;48.893524, 2.276390
Place d’Estienne-d’Orves;92300;Levallois;48.894142, 2.290200
