Maintien … domicile :;
heures MAD ;"16432;"
Beneficiaires :;"138;"
SOS heures :;"130;"
SOS beneficiaires;"106;"
Repas … domicile :;"22002;"
Beneficiaires :;"82;"
Festivit‚s :;
personnes invit‚es  fin d'annee;"746;"
colis;"1855;"
personnes … la galette;"426;"
anniversaires;"219;"
Hortensias;
483 adhérents: dont 414 lilasiens et;"483;"
dont extérieurs;"69;"
Ateliers :;
personnes au scrabble;"25;"
personnes au théâtre;"13;"
personnes à la chorale;"34;"
nbr de sorties;"32;"
nbr randonnées;"7;"
nbr de sejours;"3;"
