CD_DEPOT,LB_DEPOT,TYPE_DEPOT,LB_TYPE_DEPOT,COORD_TEL,COORD_FAX,COORD_MAIL,COORD_SITEWEB,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,INSEE_COMMUNE,CD_CANTON,RESPONSABLE,FL_DESSERVI,FL_INTERNET,NB_POSTEINT,NB_POSTEPUB,NB_MULT,ACCESS_HANDICAPES,H_DEB_MATIN_LUNDI,H_FIN_MATIN_LUNDI,H_DEB_APRM_LUNDI,H_FIN_APRM_LUNDI,H_DEB_MATIN_MARDI,H_FIN_MATIN_MARDI,H_DEB_APRM_MARDI,H_FIN_APRM_MARDI,H_DEB_MATIN_MERCREDI,H_FIN_MATIN_MERCREDI,H_DEB_APRM_MERCREDI,H_FIN_APRM_MERCREDI,H_DEB_MATIN_JEUDI,H_FIN_MATIN_JEUDI,H_DEB_APRM_JEUDI,H_FIN_APRM_JEUDI,H_DEB_MATIN_VENDREDI,H_FIN_MATIN_VENDREDI,H_DEB_APRM_VENDREDI,H_FIN_APRM_VENDREDI,H_DEB_MATIN_SAMEDI,H_FIN_MATIN_SAMEDI,H_DEB_APRM_SAMEDI,H_FIN_APRM_SAMEDI,H_DEB_MATIN_DIMANCHE,H_FIN_MATIN_DIMANCHE,H_DEB_APRM_DIMANCHE,H_FIN_APRM_DIMANCHE,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
1625,Saint-Cibard,25,,557406102,557406102,mairiesaintcibard@wanadoo.fr,,BDP Saint-Cibard,,MAIRIE,,B,,,33570,SAINT CIBARD,33386,31,PETIT Josiane,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.93933,-0.023062,Galan 33570 Saint-Cibard,0.68,locality,33386_XXXX_87bb5c,,Galan,,33570,Saint-Cibard,"33, Gironde, Aquitaine",33386
1722,Yvrac,16,,556066878,,biblioyvrac-mairie@orange.fr,,BDP Yvrac,,,9,,AVENUE DE BLANZAC,,33370,YVRAC,33554,55,,Oui,1,0,,0,,,,,,,, 16h00, 18h00,,, 14h30, 18h00,,,,,,,,,10h00, 12h00,,,,,,,44.88059,-0.461616,9 Avenue de Blanzac 33370 Yvrac,0.91,housenumber,ADRNIVX_0000000276168419,9,Avenue de Blanzac,,33370,Yvrac,"33, Gironde, Aquitaine",33554
1528,Saint-Sauveur-de-Puynormand,25,,557696263,557697771,mairiesaintsauveurdepuynormand@wanadoo.fr,,BDP Saint-Sauveur-de-Puynormand,,MAIRIE,,B,,,33660,SAINT SAUVEUR DE PUYNORMAND,33472,31,GAURY Marie-Claire,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.003795,-0.024776,Puyreau 33660 Saint-Sauveur-de-Puynormand,0.73,locality,33472_B050_0cc486,,Puyreau,,33660,Saint-Sauveur-de-Puynormand,"33, Gironde, Aquitaine",33472
1714,Sadirac,4,,556306117,,bibliotheque@sadirac.com,,BDP Sadirac,,,,,PLACE DE L'ÉGLISE,,33670,SADIRAC,33363,23,,Oui,1,4,,3,accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h30,09h30, 12h30, 14h30, 18h30,,,,,,, 16h00, 18h30,09h30, 12h30,,,,,,,44.782856,-0.41119,Chemin de l'Église 33670 Sadirac,0.63,street,33363_0083_7ae77e,,Chemin de l'Église,,33670,Sadirac,"33, Gironde, Aquitaine",33363
1672,Camarsac,20,,556301017,556301324,mairie.camarsac@wanadoo.fr,,BDP Camarsac,,,12,,ROUTE DE BERGERAC,,33750,CAMARSAC,33083,23,,Oui,0,0,,0,accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,10h00, 12h00,,,,,,,44.832836,-0.36422,12 Route de Bergerac 33750 Camarsac,0.91,housenumber,ADRNIVX_0000000276294660,12,Route de Bergerac,,33750,Camarsac,"33, Gironde, Aquitaine",33083
1598,Le Nizan,19,,556252952,556252690,e.lenizan@ac-bordeaux.fr,,BDP Le Nizan,,,6,,RUE ANDRIVET,,33430,LE NIZAN,33305,4,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 17h00, 18h30,,, 17h00, 18h30,,,,,,, 17h00, 18h30,,, 17h00, 18h30,,,,,,,,,44.477041,-0.267907,6 L'Andrivet 33430 Le Nizan,0.73,housenumber,ADRNIVX_0000000276606641,6,L'Andrivet,,33430,Le Nizan,"33, Gironde, Aquitaine",33305
1521,Cazalis,19,,556652204,556652546,biblicazalis@orange.fr,,BDP Cazalis,,MAIRIE,16,,L'ÉGLISE,,33113,CAZALIS,33115,50,BOUDIGUES Corinne,Oui,1,1,,1,Accès aux personnes à mobilité réduite,,,,,,,,,10h00, 11h00, 17h00, 18h00,,,,,10h30, 11h30,,,,,,,,,,,44.341929,-0.379546,16 L'Église 33113 Cazalis,0.91,housenumber,ADRNIVX_0000000335665736,16,L'Église,,33113,Cazalis,"33, Gironde, Aquitaine",33115
1626,Portets,22,,556671775,556677020,marion.roche@cc-podensac.fr,,BDP Portets,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33334,36,SARLET Guylaine,Oui,0,0,,0,,,, 17h00, 18h30,,, 17h00, 18h30,,, 15h00, 17h00,,, 17h00, 18h30,,,,,11h00, 12h00,,,,,,,,,,,,,,,,,,,
1761,Le Pian-Médoc,5,,556351774,556358756,bibliotheque.lepian@wanadoo.fr,,BDP Le Pian-Médoc,,,260,,RUE PASTEUR,,33290,LE PIAN MÉDOC,33322,6,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,, 15h00, 18h00,,,,,10h00, 12h00, 15h00, 19h00,10h00, 12h00, 16h00, 18h00,,,,,10h00, 12h00,,,,,,,44.955112,-0.670021,260 Rue Pasteur 33290 Le Pian-Médoc,0.91,housenumber,ADRNIVX_0000000276067525,260,Rue Pasteur,,33290,Le Pian-Médoc,"33, Gironde, Aquitaine",33322
1707,Carignan-de-Bordeaux,10,,556683522,556683522,bibliotheque@carignandebdx.fr,http://mairie.carignandebdx.free.fr/La_bibliothèque.html,BDP Carignan-de-Bordeaux,,,2,,PLACE GONFREVILLE,,33360,CARIGNAN DE BORDEAUX,33099,23,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 13h30, 16h30,,, 13h30, 18h30,,,,,,,,,10h00, 12h00,,,,,,,44.812348,-0.470876,Place Gonfreville 33360 Carignan-de-Bordeaux,0.87,street,33099_0047_b0cdfe,,Place Gonfreville,,33360,Carignan-de-Bordeaux,"33, Gironde, Aquitaine",33099
