STATION+AF8-NOM,POLLUANT+AF8-NOM,DATE+AF8-MESURE,MESURE+AF8-H01,MESURE+AF8-H02,MESURE+AF8-H03,MESURE+AF8-H04,MESURE+AF8-H05,MESURE+AF8-H06,MESURE+AF8-H07,MESURE+AF8-H08,MESURE+AF8-H09,MESURE+AF8-H10,MESURE+AF8-H11,MESURE+AF8-H12,MESURE+AF8-H13,MESURE+AF8-H14,MESURE+AF8-H15,MESURE+AF8-H16,MESURE+AF8-H17,MESURE+AF8-H18,MESURE+AF8-H19,MESURE+AF8-H20,MESURE+AF8-H21,MESURE+AF8-H22,MESURE+AF8-H23,MESURE+AF8-H24,MES+AF8-H+AF8-MINI,MES+AF8-H+AF8-MAXI,MOYENNE+AF8-JOUR
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-01,7,7,13,16,14,12,16,16,14,12,13,17,18,13,12,15,16,22,23,27,27,25,23,17,7,27,16
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-02,16,14,14,11,10,15,14,14,17,20,16,15,13,14,9,10,16,19,13,26,36,32,32,27,9,36,18
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-03,18,14,13,13,12,10,17,19,22,29,32,33,29,26,,,31,30,25,23,23,24,21,17,10,33,22
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-04,15,16,12,8,11,14,22,28,31,36,38,38,31,29,28,28,31,31,31,39,49,39,40,42,8,49,29
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-05,38,32,24,24,24,26,28,30,27,27,27,29,29,28,23,16,18,16,11,12,13,13,12,17,11,38,23
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-06,25,34,36,36,39,38,38,37,38,42,40,36,32,31,31,33,36,44,89,133,131,113,85,83,25,133,53
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-07,68,54,43,38,34,31,32,37,41,35,38,38,36,18,10,10,8,9,13,18,24,41,34,28,8,68,31
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-08,23,31,26,13,14,11,7,8,12,13,16,19,14,15,19,18,21,24,36,42,44,49,33,26,7,49,22
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-09,24,24,23,21,20,21,24,25,28,23,25,24,20,21,21,21,24,,,,,,,,20,28,23
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-10,,,,,,,,,,,,28,20,16,18,18,21,40,59,53,40,44,36,25,16,59,32
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-11,23,22,23,25,28,27,28,28,33,37,48,74,76,77,82,77,75,70,55,52,54,44,44,42,22,82,48
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-12,45,47,38,39,45,55,56,58,64,65,80,74,65,61,71,66,70,66,65,63,53,60,41,31,31,80,57
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-13,27,23,21,21,17,21,22,25,25,34,41,32,33,35,39,47,42,48,54,66,59,53,76,74,17,76,39
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-14,58,59,47,33,26,28,22,22,24,29,39,38,32,38,34,35,47,68,58,97,117,113,88,75,22,117,51
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-15,49,29,27,27,22,18,17,17,19,20,22,21,23,23,23,27,31,37,36,33,35,33,29,31,17,49,27
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-16,32,34,43,38,35,37,41,45,51,49,51,58,60,58,57,52,50,57,57,52,51,39,40,43,32,60,47
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-17,37,34,26,21,27,25,27,34,43,42,49,49,48,59,68,60,77,85,84,81,89,79,81,86,21,89,55
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-18,79,74,72,72,78,83,99,117,151,149,115,87,63,48,48,52,59,85,101,91,84,58,46,40,40,151,81
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-19,38,34,33,30,30,34,41,54,58,48,51,41,16,10,8,9,11,12,14,17,13,8,10,11,8,58,26
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-20,12,12,12,11,6,4,4,8,17,20,18,21,23,20,22,22,23,26,27,26,25,23,19,18,4,27,17
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-21,17,16,16,16,18,18,13,10,5,7,7,9,6,7,6,8,7,7,9,11,10,11,9,7,5,18,10
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-22,5,6,7,6,4,5,6,7,5,5,7,7,7,10,8,8,10,9,11,33,31,29,20,20,4,33,11
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-23,20,18,10,9,12,12,20,29,31,28,18,18,15,12,10,10,11,16,15,18,21,19,15,17,9,31,17
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-24,17,17,17,20,23,31,51,84,81,98,75,22,17,16,13,14,18,20,19,16,12,13,13,13,12,98,30
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-25,9,11,12,14,21,24,26,28,40,52,50,70,59,30,54,28,19,20,19,20,14,16,20,21,9,70,28
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-26,18,17,16,19,21,23,35,39,39,32,41,44,38,14,10,14,17,28,40,35,66,30,42,71,10,71,31
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-27,72,61,52,43,45,55,62,73,67,72,60,57,50,36,23,25,20,33,66,107,100,109,121,122,20,122,64
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-28,88,74,62,59,48,45,46,36,37,36,38,27,15,10,13,12,14,13,13,15,25,20,19,20,10,88,33
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-29,17,16,17,18,19,20,21,25,26,22,22,22,20,15,16,16,18,22,31,33,35,33,44,45,15,45,24
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-30,46,44,34,33,34,34,34,57,70,68,68,58,51,41,38,31,27,30,39,40,25,29,27,31,25,70,41
Bordeaux +AC0- Bastide,PM10,2012+AC0-01+AC0-31,25,22,19,15,9,6,8,8,12,15,21,28,27,34,31,35,35,45,69,58,42,31,27,24,6,69,27
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-01,23,22,20,21,18,18,20,28,31,41,40,45,45,55,47,41,43,49,51,53,51,50,48,48,18,55,38
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-02,41,37,36,35,34,35,40,55,54,51,42,40,43,42,45,53,51,44,51,58,56,50,45,45,34,58,45
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-03,39,36,36,35,35,33,36,41,46,44,43,43,34,32,31,37,33,38,49,52,41,38,41,38,31,52,39
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-04,33,27,26,24,23,26,27,29,26,29,33,33,30,29,26,23,24,27,32,43,47,46,51,74,23,74,33
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-05,68,52,35,32,32,28,30,21,17,14,25,27,35,47,52,43,43,42,41,41,45,39,28,26,14,68,36
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-06,26,24,27,25,26,31,33,31,37,41,40,40,37,31,34,33,31,35,44,73,83,88,96,66,24,96,43
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-07,49,43,42,38,37,41,44,48,48,42,39,39,37,37,,,35,39,46,54,54,48,47,51,35,54,44
Bordeaux +AC0- Bastide,PM10,2012+AC0-02+AC0-08,51,46,47,46,44,45,50,52,49,48,52,51,53,47,49,51,59,61,66,71,74,69,64,59,44,74,54
