OBJECTID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,AGENCE,CIRCUIT,VOIE,POSITION,COMMUNE,COND_CIRC_HIV,SHAPE__LENGTH,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,Shape__Length2
423,45 D0532,0,0,0,756,0,756,Montargis,2060-1 Est,D532,PR 0+0 à 0+756,De Courtenay à Saint-Hilaire-les-Andrésis,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1204.84515313454
455,45 D970102,1,0,4,455,0,1881,Orléans,2701-520,D970102,PR 1+0 à 4+455,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2720.87056691933
465,45 D0009,29,747,34,349,29973,34561,Pithiviers,D1C,D9,PR 29+747 à 34+349,De Beaune-la-Rolande à Juranville,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,6875.38394647484
468,45 D0209,0,0,1,36,0,1030,Pithiviers,D1C,D209,PR 0+0 à 1+36,Beaune-la-Rolande,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1538.85879585531
472,45 D0948,6,640,12,676,6781,12887,Pithiviers,D1C,D948,PR 6+640 à 12+676,De Puiseaux à Sury-aux-Bois,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,9197.90510509324
474,45 D906086,5,0,5,408,1618,2026,Sully,2060-3,D906086,PR 5+0 à 5+408,Chécy,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,607.829894031741
435,45 D0025,0,0,0,503,0,503,Pithiviers,D1A,D25,PR 0+0 à 0+503,Le Malesherbois,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,762.987752942902
450,45 D2154,0,466,1,464,415,979,Orléans,CD28,D2154,PR 0+466 à 1+464,Artenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,908.123474348484
457,45 D906096,2,0,3,298,314,891,Orléans,2701-520,D906096,PR 2+0 à 3+298,Fleury-les-Aubrais,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,860.898450368969
459,45 D0093,0,635,28,275,594,28460,Montargis,93-943,D93,PR 0+635 à 28+275,De Amilly à Dammarie-sur-Loing,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,41719.7160033049
462,45 D952001,1,0,4,190,0,908,Orléans,2701-520,D952001,PR 1+0 à 4+190,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1404.79462365147
469,45 D0955,18,958,31,835,11235,24150,Orléans,CD28,D955,PR 18+958 à 31+835,De Saint-Péravy-la-Colombe à Villamblain,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,19275.9682395095
470,45 D2060,28,0,35,350,23464,31901,Montargis,2060-1 Est,D2060,PR 28+0 à 35+350,De Amilly à Chevillon-sur-Huillard,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,25061.3382750659
475,45 D906020,1,0,3,340,0,960,Montargis,2060-1 Est,D906020,PR 1+0 à 3+340,La Chapelle-Saint-Sépulcre,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1438.31725040022
403,45 D906035,1,0,4,250,0,1055,Montargis,2060-1 Est,D906035,PR 1+0 à 4+250,Chevillon-sur-Huillard,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,756.265904990862
407,45 D2157,7,0,26,1372,0,20477,Orléans,2157-955,D2157,PR 7+0 à 26+1372,De Ormes à Charsonville,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,31023.6497769505
408,45 D0950,22,159,28,71,22070,27999,Montargis,961-2160,D950,PR 22+159 à 28+71,De Mézières-en-Gâtinais à Ladon,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,8974.67793799163
477,45 D906070,1,0,4,350,0,1650,Sully,2060-3,D906070,PR 1+0 à 4+350,Châteauneuf-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2388.56480888304
484,45 D906086,2,0,4,170,401,1618,Orléans,2060-4,D906086,PR 2+0 à 4+170,Chécy,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1536.08352832589
485,45 D994018,1,0,4,265,0,876,Sully,S2,D994018,PR 1+0 à 4+265,Gien,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1480.28733018276
498,45 D0026,16,796,17,476,16823,17492,Pithiviers,D1C,D26,PR 16+796 à 17+476,Puiseaux,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1282.90129233728
504,45 D0922,0,0,4,812,0,4490,Orléans,CD41,D922,PR 0+0 à 4+812,La Ferté-Saint-Aubin,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,6802.68153996439
