objectid,commune,inseecom,date_maj,nom_abrege,num_quartier,population,nom_quartier,nom_conseil_quartier
1,Danjoutin,0,1899/12/30 00:00:00+00, ,9003203,0,quartier3,
2,Danjoutin,0,1899/12/30 00:00:00+00, ,9003204,0,quartier4,
3,Danjoutin,0,1899/12/30 00:00:00+00, ,9003202,0,quartier2,
4,Danjoutin,0,1899/12/30 00:00:00+00, ,9003201,0,quartier1,
5,Belfort,0,1899/12/30 00:00:00+00,RLD,2,4096,Les Résidences La Douce,Résidences
6,Belfort,0,1899/12/30 00:00:00+00,RB,3,5390,Les Résidences Bellevue,Résidences
7,Belfort,0,1899/12/30 00:00:00+00,JJ,6,9079,Jean Jaurès,Vosges 
8,Belfort,0,1899/12/30 00:00:00+00,MIOT,8,3225,La Miotte - Les  Forges,Miotte - Forges
9,Belfort,0,1899/12/30 00:00:00+00,CV,5,7556,Centre Ville - Faubourg de Montbéliard,Centre Ville
10,Belfort,0,1899/12/30 00:00:00+00,MONT,1,4254,Le Mont Les Barres,Le Mont Les Barres
11,Belfort,0,1899/12/30 00:00:00+00,PEPI,4,4024,La Pépinière,La Pépinière
12,Belfort,0,1899/12/30 00:00:00+00,VV,10,2981,Vieille Ville - Fourneau,Vieille Ville Fourneau
13,Belfort,0,1899/12/30 00:00:00+00,NORD,7,6126,Belfort Nord,Belfort Nord
14,Belfort,0,1899/12/30 00:00:00+00,GLACIS,9,4138,Les Glacis du Château,Les Glacis du Château
