X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_wgs84,y_wgs84,y_l93,x_l93,the_geom,id,ObjectId
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,5.3,µg/m3,mensuelle,2021/01/01 00:00:00+00,2021/01/31 23:59:59+00,0,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,1,1
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1,µg/m3,mensuelle,2020/05/01 00:00:00+00,2020/05/31 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,2,2
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1,µg/m3,mensuelle,2020/08/01 00:00:00+00,2020/08/31 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,3,3
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1.1,µg/m3,mensuelle,2020/07/01 00:00:00+00,2020/07/31 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,4,4
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1.1,µg/m3,mensuelle,2020/04/01 00:00:00+00,2020/04/30 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,5,5
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1.2,µg/m3,mensuelle,2020/06/01 00:00:00+00,2020/06/30 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,6,6
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1.5,µg/m3,mensuelle,2020/03/01 00:00:00+00,2020/03/31 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,7,7
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1.8,µg/m3,mensuelle,2020/10/01 00:00:00+00,2020/10/31 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,8,8
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,1.9,µg/m3,mensuelle,2020/02/01 00:00:00+00,2020/02/29 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,9,9
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,NO,38,2,µg/m3,mensuelle,2020/09/01 00:00:00+00,2020/09/30 23:59:59+00,1,1.69313,46.798267,"6 633 950,0203331","600 329,2082205",0101000020E610000010069E7B0F17FB3FEF3CF19C2D664740,10,10
