X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_polluant,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_wgs84,y_wgs84,x_l93,y_l93,id,ESRI_OID
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,38,1.8,µg/m3,annuelle,2018/01/01 00:00:00+00,2018/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",1,1
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,38,2.1,µg/m3,annuelle,2019/01/01 00:00:00+00,2019/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",2,2
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,38,3.3,µg/m3,annuelle,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",3,3
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,38,3.6,µg/m3,annuelle,2016/01/01 00:00:00+00,2016/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",4,4
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,5,13.4,µg/m3,annuelle,2016/01/01 00:00:00+00,2016/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",5,5
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,5,14.1,µg/m3,annuelle,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",6,6
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,5,14.9,µg/m3,annuelle,2018/01/01 00:00:00+00,2018/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",7,7
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,5,15,µg/m3,annuelle,2019/01/01 00:00:00+00,2019/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",8,8
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,7,54.5,µg/m3,annuelle,2016/01/01 00:00:00+00,2016/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",9,9
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,7,55.1,µg/m3,annuelle,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",10,10
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,7,58.2,µg/m3,annuelle,2018/01/01 00:00:00+00,2018/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",11,11
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,7,62.6,µg/m3,annuelle,2019/01/01 00:00:00+00,2019/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",12,12
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,8,8.9,µg/m3,annuelle,2019/01/01 00:00:00+00,2019/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",13,13
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,8,9.3,µg/m3,annuelle,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",14,14
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,8,9.4,µg/m3,annuelle,2018/01/01 00:00:00+00,2018/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",15,15
1.69313,46.798267,INDRE,Châteauroux,36044,Chateauroux Sud,FR34051,Urbaine,Fond,,8,10.6,µg/m3,annuelle,2016/01/01 00:00:00+00,2016/12/31 00:00:00+00,1,1.69313,46.798267,"600 329,2082205","6 633 950,0203331",16,16
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,6001,6.8,µg/m3,annuelle,2019/01/01 00:00:00+00,2019/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",17,17
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,6001,7,µg/m3,annuelle,2018/01/01 00:00:00+00,2018/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",18,18
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,6001,7,µg/m3,annuelle,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",19,19
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,6001,7.9,µg/m3,annuelle,2016/01/01 00:00:00+00,2016/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",20,20
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,7,52.8,µg/m3,annuelle,2016/01/01 00:00:00+00,2016/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",21,21
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,7,57,µg/m3,annuelle,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",22,22
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,7,58,µg/m3,annuelle,2018/01/01 00:00:00+00,2018/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",23,23
2.610068,46.814695,CHER,Verneuil,18277,Verneuil,FR34038,Rurale nationale,Fond,,7,59.9,µg/m3,annuelle,2019/01/01 00:00:00+00,2019/12/31 00:00:00+00,1,2.610068,46.814695,"670 269,8100000","6 635 023,9700000",24,24
1.771953,46.864535,INDRE,Montierchaume,36128,Montierchaume,FR34056,Périurbaine,Fond,,7,53,µg/m3,annuelle,2016/01/01 00:00:00+00,2016/12/31 00:00:00+00,1,1.771953,46.864535,"606 454,7588532","6 641 212,5670184",25,25
1.771953,46.864535,INDRE,Montierchaume,36128,Montierchaume,FR34056,Périurbaine,Fond,,7,54.9,µg/m3,annuelle,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,1,1.771953,46.864535,"606 454,7588532","6 641 212,5670184",26,26
1.771953,46.864535,INDRE,Montierchaume,36128,Montierchaume,FR34056,Périurbaine,Fond,,7,60.2,µg/m3,annuelle,2019/01/01 00:00:00+00,2019/12/31 00:00:00+00,1,1.771953,46.864535,"606 454,7588532","6 641 212,5670184",27,27
1.771953,46.864535,INDRE,Montierchaume,36128,Montierchaume,FR34056,Périurbaine,Fond,,7,60.3,µg/m3,annuelle,2018/01/01 00:00:00+00,2018/12/31 00:00:00+00,1,1.771953,46.864535,"606 454,7588532","6 641 212,5670184",28,28
