"code","libelle","type"
"DGF_Totale","Dotation globale de fonctionnement totale ","I"
"Dotation_Compensation","Dotation de compensation","I"
"Dotation_Interco","Dotation d’intercommunalité :","I"
"Base","Dotation de base","I"
"Péréquation","Dotation de péréquation","I"
"Bonification","Bonification","I"
"Majoration","Majoration","I"
"Garantie","Garantie","I"
"Ecretement","Ecrêtement","I"
"Dotation_Touristique","Dotation des groupements touristiques","I"
"DgfTotaleParHab","DGF totale par habitant","D1"
"DgfIntercoParHab","Dotation d’intercommunalité par habitant","D1"
"PopDGF","Population « DGF »","I"
"Potentiel","Potentiel fiscal","I"
"CIF","Coefficient d'intégration fiscale (CIF)","D1"
"FPIC_Solde","Solde net FPIC","I"
"FPIC_Reversement","Dont Reversement au profit de l’ensemble intercommunal","I"
"FPIC_Prélèvement","Prélèvement de l’ensemble intercommunal","I"
"FPICParHab","FPIC par habitant","D1"
"Montagne","EPCI de montagne","B"
