"code","libelle","type"
"Montagne","Canton sur le territoire duquel se situe au moins une Zone de montagne","B"
"Tourisme","Canton sur le territoire duquel se situe au moins une Commune touristique","B"
"ZRR","Canton sur le territoire duquel se situe au moins une Zone de revitalisation rurale (ZRR)","B"
"ZUS","Canton sur le territoire duquel se situe au moins une Zone urbaine sensible (ZUS) ","B"
"NbCom","Nombre de communes","I"
"PopTot","Population totale","I"
"PopMuni","Population municipale","I"
"Sup","Superficie","I"
"Densité","Densité","D1"
"PopTCAM","Population de référence pour le calcul de la variation annuelle moyenne de la population","I"
"TCAM","Variation annuelle moyenne de la population","D1"
"PopUU","Part des habitants vivant sur le territoire d’une Unité urbaine","P1"
"PopAU","Part des habitants vivant sur le territoire d’une Grande aire urbaine","P1"
