COLL_NOM ,COLL_SIRET,ANNEES,PASSEPORTS,CARTES NATIONALES D'IDENTITE,DATE_DER_MAJ
Antibes,21060004500012,2004,5832,1620,2021-01-11
Antibes,21060004500012,2005,5402,5402,2021-01-11
Antibes,21060004500012,2006,4739,4739,2021-01-11
Antibes,21060004500012,2007,5340,5340,2021-01-11
Antibes,21060004500012,2008,5496,5496,2021-01-11
Antibes,21060004500012,2009,5911,6694,2021-01-11
Antibes,21060004500012,2010,6513,7199,2021-01-11
Antibes,21060004500012,2011,7028,6809,2021-01-11
Antibes,21060004500012,2012,6743,5569,2021-01-11
Antibes,21060004500012,2013,6333,7354,2021-01-11
Antibes,21060004500012,2014,6268,5457,2021-01-11
Antibes,21060004500012,2015,5808,5269,2021-01-11
Antibes,21060004500012,2016,5752,4523,2021-01-11
Antibes,21060004500012,2017,5627,4411,2021-01-11
Antibes,21060004500012,2018,6248,5977,2021-01-11
Antibes,21060004500012,2019,6355,7418,2021-01-11
Antibes,21060004500012,2020,3557,5297,2021-01-11
