ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,TONNAGE_DECH
2017,84,Auvergne-Rhône-Alpes,01,Ain,02A,Déchets dangereux,1794.70767
2017,84,Auvergne-Rhône-Alpes,01,Ain,02B,Matériaux recyclables,35035.53866
2017,84,Auvergne-Rhône-Alpes,01,Ain,02C,Déchets verts,44931.31815
2017,84,Auvergne-Rhône-Alpes,01,Ain,02D,Encombrants,35796.36563
2017,84,Auvergne-Rhône-Alpes,01,Ain,02E,Déblais et gravats,38816.66981
2017,84,Auvergne-Rhône-Alpes,01,Ain,02F,DEEE,5684.52722
2017,84,Auvergne-Rhône-Alpes,01,Ain,02Z,Autres déchets,48.51208
2017,84,Auvergne-Rhône-Alpes,03,Allier,02A,Déchets dangereux,771.96808
2017,84,Auvergne-Rhône-Alpes,03,Allier,02B,Matériaux recyclables,15464.82762
2017,84,Auvergne-Rhône-Alpes,03,Allier,02C,Déchets verts,27699.27892
2017,84,Auvergne-Rhône-Alpes,03,Allier,02D,Encombrants,18938.56828
2017,84,Auvergne-Rhône-Alpes,03,Allier,02E,Déblais et gravats,16978.98498
2017,84,Auvergne-Rhône-Alpes,03,Allier,02F,DEEE,3162.96132
2017,84,Auvergne-Rhône-Alpes,03,Allier,02Z,Autres déchets,11.01373
2017,84,Auvergne-Rhône-Alpes,07,Ardèche,02A,Déchets dangereux,728.2576
2017,84,Auvergne-Rhône-Alpes,07,Ardèche,02B,Matériaux recyclables,18065.98209
2017,84,Auvergne-Rhône-Alpes,07,Ardèche,02C,Déchets verts,20822.15884
2017,84,Auvergne-Rhône-Alpes,07,Ardèche,02D,Encombrants,22620.86418
2017,84,Auvergne-Rhône-Alpes,07,Ardèche,02E,Déblais et gravats,22058.60031
2017,84,Auvergne-Rhône-Alpes,07,Ardèche,02F,DEEE,2682.9004
2017,84,Auvergne-Rhône-Alpes,07,Ardèche,02Z,Autres déchets,102.1525
2017,84,Auvergne-Rhône-Alpes,15,Cantal,02A,Déchets dangereux,280.11702
2017,84,Auvergne-Rhône-Alpes,15,Cantal,02B,Matériaux recyclables,7725.23113
2017,84,Auvergne-Rhône-Alpes,15,Cantal,02C,Déchets verts,8871.33883
2017,84,Auvergne-Rhône-Alpes,15,Cantal,02D,Encombrants,7166.94535
2017,84,Auvergne-Rhône-Alpes,15,Cantal,02E,Déblais et gravats,7485.95478
2017,84,Auvergne-Rhône-Alpes,15,Cantal,02F,DEEE,975.29308
2017,84,Auvergne-Rhône-Alpes,15,Cantal,02Z,Autres déchets,9.68721
2017,84,Auvergne-Rhône-Alpes,26,Drôme,02A,Déchets dangereux,1192.67306
2017,84,Auvergne-Rhône-Alpes,26,Drôme,02B,Matériaux recyclables,26586.26188
2017,84,Auvergne-Rhône-Alpes,26,Drôme,02C,Déchets verts,32745.15882
2017,84,Auvergne-Rhône-Alpes,26,Drôme,02D,Encombrants,36431.58685
2017,84,Auvergne-Rhône-Alpes,26,Drôme,02E,Déblais et gravats,40152.41031
2017,84,Auvergne-Rhône-Alpes,26,Drôme,02F,DEEE,3445.25431
2017,84,Auvergne-Rhône-Alpes,26,Drôme,02Z,Autres déchets,24.90161
2017,84,Auvergne-Rhône-Alpes,38,Isère,02A,Déchets dangereux,3116.41476
2017,84,Auvergne-Rhône-Alpes,38,Isère,02B,Matériaux recyclables,67297.16923
2017,84,Auvergne-Rhône-Alpes,38,Isère,02C,Déchets verts,92502.40725
2017,84,Auvergne-Rhône-Alpes,38,Isère,02D,Encombrants,89302.10548
2017,84,Auvergne-Rhône-Alpes,38,Isère,02E,Déblais et gravats,94083.17124
2017,84,Auvergne-Rhône-Alpes,38,Isère,02F,DEEE,10475.65848
2017,84,Auvergne-Rhône-Alpes,38,Isère,02Z,Autres déchets,8944.72543
2017,84,Auvergne-Rhône-Alpes,42,Loire,02A,Déchets dangereux,1619.89267
2017,84,Auvergne-Rhône-Alpes,42,Loire,02B,Matériaux recyclables,34020.45409
2017,84,Auvergne-Rhône-Alpes,42,Loire,02C,Déchets verts,47821.93837
2017,84,Auvergne-Rhône-Alpes,42,Loire,02D,Encombrants,43639.5528
2017,84,Auvergne-Rhône-Alpes,42,Loire,02E,Déblais et gravats,36220.43883
2017,84,Auvergne-Rhône-Alpes,42,Loire,02F,DEEE,5348.4124
2017,84,Auvergne-Rhône-Alpes,42,Loire,02Z,Autres déchets,21.32575
2017,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02A,Déchets dangereux,574.78337
2017,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02B,Matériaux recyclables,12563.04729
2017,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02C,Déchets verts,11911.41204
2017,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02D,Encombrants,11084.6249
2017,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02E,Déblais et gravats,12827.27666
2017,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02F,DEEE,2057.07445
2017,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02Z,Autres déchets,9.62916
2017,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02A,Déchets dangereux,1636.024
2017,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02B,Matériaux recyclables,26410.20525
2017,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02C,Déchets verts,32214.20726
2017,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02D,Encombrants,33614.92873
2017,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02E,Déblais et gravats,35730.36718
2017,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02F,DEEE,4199.1029
2017,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02Z,Autres déchets,22.18452
2017,84,Auvergne-Rhône-Alpes,69,Rhône,02A,Déchets dangereux,2708.6977
2017,84,Auvergne-Rhône-Alpes,69,Rhône,02B,Matériaux recyclables,51298.32068
2017,84,Auvergne-Rhône-Alpes,69,Rhône,02C,Déchets verts,58412.56422
2017,84,Auvergne-Rhône-Alpes,69,Rhône,02D,Encombrants,55082.07702
2017,84,Auvergne-Rhône-Alpes,69,Rhône,02E,Déblais et gravats,56933.74549
2017,84,Auvergne-Rhône-Alpes,69,Rhône,02F,DEEE,9308.95892
2017,84,Auvergne-Rhône-Alpes,69,Rhône,02Z,Autres déchets,15.33856
2017,84,Auvergne-Rhône-Alpes,73,Savoie,02A,Déchets dangereux,1246.68982
2017,84,Auvergne-Rhône-Alpes,73,Savoie,02B,Matériaux recyclables,28457.79826
2017,84,Auvergne-Rhône-Alpes,73,Savoie,02C,Déchets verts,28834.90475
2017,84,Auvergne-Rhône-Alpes,73,Savoie,02D,Encombrants,27230.11664
2017,84,Auvergne-Rhône-Alpes,73,Savoie,02E,Déblais et gravats,31493.36467
2017,84,Auvergne-Rhône-Alpes,73,Savoie,02F,DEEE,4491.03419
2017,84,Auvergne-Rhône-Alpes,73,Savoie,02Z,Autres déchets,35.47238
2017,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02A,Déchets dangereux,1600.08383
2017,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02B,Matériaux recyclables,57142.64281
2017,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02C,Déchets verts,58468.27311
2017,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02D,Encombrants,48477.28175
2017,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02E,Déblais et gravats,43741.33329
2017,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02F,DEEE,6974.16959
2017,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02Z,Autres déchets,281.3282
2017,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02A,Déchets dangereux,1315.12638
2017,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02B,Matériaux recyclables,22801.91567
2017,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02C,Déchets verts,35426.60866
2017,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02D,Encombrants,21714.06106
2017,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02E,Déblais et gravats,33372.06314
2017,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02F,DEEE,3735.37219
2017,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02Z,Autres déchets,42.36035
2017,27,Bourgogne-Franche-Comté,25,Doubs,02A,Déchets dangereux,1010.85255
2017,27,Bourgogne-Franche-Comté,25,Doubs,02B,Matériaux recyclables,24124.57487
2017,27,Bourgogne-Franche-Comté,25,Doubs,02C,Déchets verts,35595.40955
2017,27,Bourgogne-Franche-Comté,25,Doubs,02D,Encombrants,30146.65239
2017,27,Bourgogne-Franche-Comté,25,Doubs,02E,Déblais et gravats,29385.29346
2017,27,Bourgogne-Franche-Comté,25,Doubs,02F,DEEE,3859.93516
2017,27,Bourgogne-Franche-Comté,25,Doubs,02Z,Autres déchets,93.45415
2017,27,Bourgogne-Franche-Comté,39,Jura,02A,Déchets dangereux,491.786
2017,27,Bourgogne-Franche-Comté,39,Jura,02B,Matériaux recyclables,12828.172
2017,27,Bourgogne-Franche-Comté,39,Jura,02C,Déchets verts,12142.89
2017,27,Bourgogne-Franche-Comté,39,Jura,02D,Encombrants,13047.937
2017,27,Bourgogne-Franche-Comté,39,Jura,02E,Déblais et gravats,12246.59
2017,27,Bourgogne-Franche-Comté,39,Jura,02F,DEEE,1839.723
2017,27,Bourgogne-Franche-Comté,39,Jura,02Z,Autres déchets,1552.551
2017,27,Bourgogne-Franche-Comté,58,Nièvre,02A,Déchets dangereux,541.71713
2017,27,Bourgogne-Franche-Comté,58,Nièvre,02B,Matériaux recyclables,8805.33901
2017,27,Bourgogne-Franche-Comté,58,Nièvre,02C,Déchets verts,14678.72816
2017,27,Bourgogne-Franche-Comté,58,Nièvre,02D,Encombrants,15377.19443
2017,27,Bourgogne-Franche-Comté,58,Nièvre,02E,Déblais et gravats,5448.73126
2017,27,Bourgogne-Franche-Comté,58,Nièvre,02F,DEEE,2427.09497
2017,27,Bourgogne-Franche-Comté,58,Nièvre,02Z,Autres déchets,6.77551
2017,27,Bourgogne-Franche-Comté,70,Haute-Saône,02A,Déchets dangereux,673.03538
2017,27,Bourgogne-Franche-Comté,70,Haute-Saône,02B,Matériaux recyclables,13374.04848
2017,27,Bourgogne-Franche-Comté,70,Haute-Saône,02C,Déchets verts,16033.75696
2017,27,Bourgogne-Franche-Comté,70,Haute-Saône,02D,Encombrants,21405.99346
2017,27,Bourgogne-Franche-Comté,70,Haute-Saône,02E,Déblais et gravats,12808.97441
2017,27,Bourgogne-Franche-Comté,70,Haute-Saône,02F,DEEE,2701.02116
2017,27,Bourgogne-Franche-Comté,70,Haute-Saône,02Z,Autres déchets,218.41242
