Section;Sens;Chapitre (Code);Montant du BP (Statistiques)
F;D;011;1 355 205,00
F;D;012;880 300,00
F;D;014;750 000,00
F;D;023;426 721,00
F;D;042;688 361,00
F;D;65;35 000,00
F;D;66;265 000,00
F;D;67;253 017,00
F;R;002;1 247 881,33
F;R;013;0,00
F;R;042;70 154,00
F;R;70;4 583 450,00
F;R;75;0,00
F;R;77;0,00
I;D;040;70 154,00
I;D;16;822 000,00
I;D;20;72 500,00
I;D;21;1 294 750,00
I;D;23;1 350 000,00
I;R;001;1 237 605,67
I;R;021;426 721,00
I;R;040;688 361,00
I;R;10;0,00
I;R;13;490 000,00
I;R;16;1 742 242,12
