Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;148 006,00;67 764,49
F;D;023;56 007,00;0,00
F;D;042;94 700,00;94 699,79
F;D;65;320 001,00;0,00
F;D;66;30 000,00;24 769,99
F;D;67;0,00;0,00
F;D;68;0,00;0,00
F;R;002;34 381,55;34 381,55
F;R;042;20 707,00;20 707,00
F;R;70;186 000,00;155 532,00
F;R;75;66 000,00;60 209,00
F;R;77;0,00;0,00
F;R;78;444 300,00;0,00
I;D;001;49 200,55;49 200,55
I;D;040;20 707,00;20 707,00
I;D;16;130 000,00;128 067,09
I;D;23;0,00;0,00
I;R;021;56 007,00;0,00
I;R;040;94 700,00;94 699,79
I;R;10;49 200,55;49 200,55
