Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;1 341 800,00;1 338 471,68
F;D;012;455 992,00;404 951,85
F;D;023;72 908,00;0,00
F;D;042;55 643,87;55 384,61
F;D;65;2 500,00;1 660,86
F;D;66;33 000,00;33 000,00
F;D;67;0,00;0,00
F;R;002;1 234 420,51;1 234 420,51
F;R;013;558 764,00;619 775,02
F;R;70;1 349 326,00;1 515 240,30
F;R;75;0,00;1,92
F;R;77;703,87;2 413,31
I;D;001;19 281,26;19 281,26
I;D;041;0,00;0,00
I;D;16;70 000,00;69 776,94
I;D;21;57 848,00;51 635,15
I;R;021;72 908,00;0,00
I;R;040;54 940,00;55 384,61
I;R;10;19 281,26;19 281,26
I;R;21;0,00;0,00
