X,Y,FID,identifian,zone,date_relev,source,export
339083.0037,7690216.7868,1,118,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338509.4505,7690499.5416,2,101,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338488.222,7690218.6679,3,104,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338508.398,7690190.4215,4,105,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339230.9562,7690261.7591,5,119,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338594.4824,7690074.073,6,108,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338709.4858,7690100.9744,7,109,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338701.5835,7690543.8382,8,102,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338516.4684,7690112.4075,9,107,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339326.7669,7690300.8655,10,120,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339418.6669,7690257.8485,11,121,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339470.3063,7690208.862,12,122,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339360.0704,7690203.0007,13,123,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338540.846,7690807.9366,14,110,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339240.1126,7690168.4116,15,124,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338940.2119,7690624.9782,16,133,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338707.8,7690436.9914,17,113,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338842.5241,7690479.0706,18,114,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338973.7121,7690530.3436,19,115,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338496.2924,7690307.4424,20,106,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338809.6181,7690131.9647,21,116,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338960.7962,7690189.0864,22,117,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339116.4751,7690131.6148,23,125,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338978.6094,7690088.9304,24,126,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338845.1594,7690045.7554,25,127,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339125.1959,7690564.0272,26,128,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339246.2454,7690609.6339,27,129,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338519.0786,7690765.3637,28,111,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338497.6829,7690821.5274,29,112,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338583.2008,7690580.893,30,100,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338474.3418,7690859.8312,31,130,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338608.1782,7690821.4705,32,131,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338810.2115,7690576.8141,33,132,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339071.0646,7690651.4045,34,134,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339224.9339,7690696.5849,35,135,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339196.8027,7690799.7327,36,136,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339063.9158,7690762.0465,37,137,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338906.2991,7690716.7047,38,138,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338793.7844,7690684.7975,39,139,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338654.8802,7690655.2894,40,140,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338515.7247,7690269.943,41,103,ORANGE,26/12/2018,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338472.2498,7690701.3927,42,141,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338625.4727,7690744.5437,43,142,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338752.5661,7690780.741,44,143,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338869.2265,7690814.7094,45,144,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339022.9294,7690859.5906,46,145,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339144.8802,7690714.2478,47,147,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339111.2347,7690831.5523,48,146,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339161.5513,7690653.0191,49,148,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339301.5892,7690658.7783,50,149,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339272.1873,7690546.3236,51,150,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339188.5283,7690522.6808,52,151,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339218.6245,7690423.8501,53,152,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339248.4591,7690321.4836,54,153,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339279.5442,7690246.8079,55,154,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338579.6832,7690781.1557,56,167,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339269.922,7690770.496,57,155,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339323.7176,7690578.4602,58,156,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339349.6553,7690518.0046,59,157,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339362.1759,7690471.9854,60,158,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339420.6001,7690477.8036,61,159,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339422.7819,7690479.2581,62,160,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338916.9056,7691165.1105,63,161,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338882.0006,7691187.3227,64,162,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338531.5085,7691030.683,65,163,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338481.3146,7690990.8741,66,164,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338492.565,7690954.5267,67,165,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338548.8168,7690936.0646,68,166,VERTE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338586.0295,7690701.8263,69,168,ORANGE,03/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338454.4986,7690936.5727,70,169,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338437.4822,7690987.0196,71,170,ORANGE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338404.0388,7690952.6767,72,171,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338410.6005,7690924.9484,73,172,VERTE,02/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338768.6447,7691215.3722,74,173,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338714.6898,7691193.1555,75,174,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338574.5599,7691093.5985,76,175,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338537.5669,7691105.4459,77,176,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338507.4116,7691094.4225,78,177,VERTE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338469.9001,7691080.8729,79,178,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338429.7556,7691095.5288,80,179,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338905.1301,7690098.5597,81,180,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338869.8075,7690205.8731,82,181,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338829.1024,7690322.606,83,182,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338796.1346,7690421.8457,84,183,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338763.8396,7690512.0025,85,184,ORANGE,07/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338721.7889,7690620.3252,86,185,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338695.2128,7690710.1456,87,186,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
