objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
1,68079, ,1970/01/01 00:00:00+00, ,270335.977177145,3019.4094541614
2,68268, ,1970/01/01 00:00:00+00, ,462304.27428795,4212.43762329343
5,68167, ,1970/01/01 00:00:00+00, ,851972.822749225,5699.28415576243
6,68233, ,1970/01/01 00:00:00+00, ,471097.858194715,3056.34469311997
8,68314, ,1970/01/01 00:00:00+00, ,493942.704744345,4951.9491693278
9,68196, ,1970/01/01 00:00:00+00, ,210963.101216615,2545.34939298267
10,68282, ,1970/01/01 00:00:00+00, ,221931.54595552,2807.62700109326
11,68215, ,1970/01/01 00:00:00+00, ,534129.396615505,4199.55782453694
12,68215, ,1970/01/01 00:00:00+00, ,393435.018280865,3506.76433701652
13,68293, ,1970/01/01 00:00:00+00, ,110149.377912605,1609.03932864799
14,68114, ,1970/01/01 00:00:00+00, ,134081.66462928,2073.04086692665
15,68024, ,1970/01/01 00:00:00+00, ,143461.94418663,2113.93821281668
16,68326, ,1970/01/01 00:00:00+00, ,139305.951369525,2236.54611184827
17,68052, ,1970/01/01 00:00:00+00, ,180910.278591015,2348.4133339747
18,68085, ,1970/01/01 00:00:00+00, ,318405.683715745,4684.23473323581
19,68050, ,1970/01/01 00:00:00+00, ,449958.513958475,4328.56116007981
20,90006, ,1970/01/01 00:00:00+00, ,389493.617293785,4039.79450014325
21,90102, ,1970/01/01 00:00:00+00, ,341586.7516668,2914.78414279999
22,90085, ,1970/01/01 00:00:00+00, ,55821.76784603,1107.66637548709
23,90061, ,1970/01/01 00:00:00+00, ,44298.61300093,855.683752439872
24,90088, ,1970/01/01 00:00:00+00, ,1016811.95933581,7204.0018366608
25,90054, ,1970/01/01 00:00:00+00, ,491447.854275895,5124.18521214297
26,90079, ,1970/01/01 00:00:00+00, ,223894.610564615,2883.10813915923
27,90003, ,1970/01/01 00:00:00+00, ,1643341.04115042,7265.13579308622
28,90089, ,1970/01/01 00:00:00+00, ,729836.78123931,5044.79198529785
29,90066, ,1970/01/01 00:00:00+00, ,169611.46172015,3353.10201570774
30,90078, ,1970/01/01 00:00:00+00, ,167654.899829205,2733.2577865106
31,90058, ,1970/01/01 00:00:00+00, ,533749.76402894,5314.64885356842
32,90086, ,1970/01/01 00:00:00+00, ,311021.58818128,2785.06865051376
33,90044, ,1970/01/01 00:00:00+00, ,308096.354835455,3338.65603926188
34,90016, ,1970/01/01 00:00:00+00, ,169696.610253855,1955.40384846743
35,90091, ,1970/01/01 00:00:00+00, ,493260.96547874,3929.86822676069
36,90002, ,1970/01/01 00:00:00+00, ,505628.202433905,5498.83500112709
37,90060, ,1970/01/01 00:00:00+00, ,180262.10680291,2478.64815519837
38,90013, ,1970/01/01 00:00:00+00, ,260103.37136967,2419.62920583719
39,90067, ,1970/01/01 00:00:00+00, ,296386.14796557,3136.57431055202
40,90036, ,1970/01/01 00:00:00+00, ,241035.618391695,5030.8236263534
41,90080, ,1970/01/01 00:00:00+00, ,349170.168663145,3539.50109374977
42,90062, ,1970/01/01 00:00:00+00, ,277742.059884065,4431.89524607095
43,90100, ,1970/01/01 00:00:00+00, ,377163.46872256,3319.14908029771
44,90084, ,1970/01/01 00:00:00+00, ,433998.128738215,4350.73650786515
45,90047, ,1970/01/01 00:00:00+00, ,626294.96876237,5133.26503886216
46,90050, ,1970/01/01 00:00:00+00, ,239277.12705575,2484.55915888272
47,90031, ,1970/01/01 00:00:00+00, ,305019.150873265,2903.44797193257
48,90071, ,1970/01/01 00:00:00+00, ,991191.252650705,5866.12976770622
49,90098,URCEREY,1970/01/01 00:00:00+00, ,178392.43795527,4344.04033865688
50,68201, ,1970/01/01 00:00:00+00, ,800146.138973485,4330.77131452248
51,68219, ,1970/01/01 00:00:00+00, ,267578.488284605,3145.91971393476
52,68304, ,1970/01/01 00:00:00+00, ,940973.60824701,4184.6483777098
54,68201, ,1970/01/01 00:00:00+00, ,2199140.8098796,6325.3134620992
55,68201, ,1970/01/01 00:00:00+00, ,155850.332590795,1866.1283938815
58,68192, ,1970/01/01 00:00:00+00, ,210148.58329294,2694.67182497382
59,68192, ,1970/01/01 00:00:00+00, ,154413.950123395,3077.60841545066
60,68340, ,1970/01/01 00:00:00+00, ,279638.45421749,3165.80760187471
