FID,OBJECTID,ID_COMMUNE,NOM_COMMUN,COMMUNE_20,COLLEGES_D,CODE_COLLE,NOM_COLLEG,LYCEES_DE_,Zones_GEO,Shape_Leng,SHAPE_Length,SHAPE_Area
1,1,37027,Bléré,BLERE,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,29.9403037975,44142.3069243378,31.1329900576
2,2,37263,Truyes,TRUYES,ALCUIN - CORMERY,0370010K,COLLÈGE ALCUIN,VIGNY - LOCHES,037LOCH,21.7204882512,32010.2381515529,16.5384989857
3,3,37234,Saint-Quentin-sur-Indrois,SAINT QUENTIN SUR INDROIS,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,31.510639541,46381.1841443386,27.2822937746
4,4,37178,Panzoult,PANZOULT,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,30.828610841,45352.9575051231,34.8632872623
5,5,37133,Loché-sur-Indrois,LOCHE SUR INDROIS,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,42.0591949058,61760.4609528347,74.8296122758
6,6,37177,Orbigny,ORBIGNY,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,37.2139457984,54790.594982866,66.0368964461
7,7,37279,Villiers-au-Bouin,VILLIERS AU BOUIN,JOACHIM DU BELLAY - CHÂTEAU-LA-VALLIÈRE,0370006F,COLLÈGE JOACHIM DU BELLAY,CHOISEUL - TOURS,037CHOI,30.5791144304,45314.2576118057,30.4190806183
8,8,37016,Azay-sur-Indre,AZAY SUR INDRE,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,17.9398013189,26399.9355922072,13.6937034617
9,9,37079,Civray-de-Touraine,CIVRAY DE TOURAINE,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,28.657387457,42287.9082336431,23.1701194957
10,10,37159,Monts,MONTS,VAL DE L'INDRE - MONTS,0370993D,COLLÈGE DU VAL DE L'INDRE,MONNET - JOUÉ-LÈS-TOURS,037JLT,27.6580885991,40764.2460720888,27.8253701865
11,11,37207,Saint-Aubin-le-Dépeint,SAINT AUBIN LE DEPEINT,COLLÈGE DE BERCÉ (72),0720067G,COLLÈGE DE BERCÉ (72), , ,16.9879386454,25198.0722123317,15.1109997759
12,12,37019,Barrou,BARROU,LOUIS LÉGER - LE GRAND-PRESSIGNY,0370011L,COLLÈGE LOUIS LÉGER,VIGNY - LOCHES,037LOCH,29.9009576534,43739.0081564277,31.034977004
13,13,37073,Chisseaux,CHISSEAUX,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,15.788352945,23304.0052207998,11.7405659019
14,14,37141,Luzillé,LUZILLE,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,28.3799644727,41820.5729167671,41.1426112793
15,15,37241,Savigné-sur-Lathan,SAVIGNE SUR LATHAN,BERNARD DE FONTENELLE - SAVIGNÉ-SUR-LATHAN,0370034L,COLLÈGE BERNARD DE FONTENELLE,CHOISEUL - TOURS,037CHOI,23.1813793253,34274.1044769145,17.7994461527
16,16,37059,Charentilly,CHARENTILLY,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,17.4107756216,25751.7071193406,14.1256228758
17,17,37160,Morand,MORAND,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,19.594809294,29033.018896527,14.7489710989
18,18,37251,Souvigné,SOUVIGNE,JOACHIM DU BELLAY - CHÂTEAU-LA-VALLIÈRE,0370006F,COLLÈGE JOACHIM DU BELLAY,CHOISEUL - TOURS,037CHOI,28.1644076077,41693.9422757737,24.8628347981
