objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
1,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,8050.309774315,1283.43270616767
2,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,1192.492892095,146.06411941471
3,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,199.228263505,91.0585007818876
4,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,4635.325310595,387.49817548949
5,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,10541.115581835,782.710791245396
6,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,146966.73010388,1613.27490520529
7,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,1694.15504655,176.763719958598
8,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,2198.54746683,372.06093258958
9,90010,BELFORT,2020/08/17 00:00:00+00,ilot parcellaire,343176.998879395,2586.04460672901
10,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,1478.482844085,182.181626587932
11,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,277.826697035,68.6444749262835
12,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,160.938704355,51.4983229857737
13,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,553.246921555,121.489725500133
14,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,438.29105341,89.0407754365298
15,90010,BELFORT,2020/08/17 00:00:00+00,ilot parcellaire,4447.160809685,261.823519451014
16,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,132839.82504209,1593.79788395872
18,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,15.592737745,27.7454169439423
19,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,4590.13437906,448.679335647769
20,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,668.44426345,151.252946883053
21,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,1371.172145005,190.413596500406
22,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,33133.21798521,1315.8430214229
23,90010,BELFORT,2020/08/17 00:00:00+00,ilot parcellaire,20848.85161137,811.936703824211
24,90099,VALDOIE,2020/08/17 00:00:00+00,ilot parcellaire,31409.186037885,1166.70445097723
25,90039,ESSERT,2020/08/17 00:00:00+00,ilot parcellaire,1202844.75338775,6361.02432880429
26,90039,ESSERT,2020/08/17 00:00:00+00,ilot parcellaire,21613.26138245,868.307333559106
27,90099,VALDOIE,2020/08/17 00:00:00+00,ilot parcellaire,218023.074963545,3968.53643048317
28,90026,CHEVREMONT,2020/08/17 00:00:00+00,ilot parcellaire,348653.416781485,4300.27068762412
29,90073,MEROUX-MOVAL,2020/08/17 00:00:00+00,ilot parcellaire,71740.09037863,2159.36992677688
30,90026,CHEVREMONT,2020/08/17 00:00:00+00,ilot parcellaire,253954.12086881,3731.16956974973
31,90004,ARGIESANS,2020/08/17 00:00:00+00,ilot parcellaire,184182.592588635,3574.42831614182
32,90037,ELOIE,2020/08/17 00:00:00+00,ilot parcellaire,67807.267839855,2285.12850435231
33,90017,BOUROGNE,2020/08/17 00:00:00+00,ilot parcellaire,5697876.39809687,20092.5959511222
34,90087,ROPPE,2020/08/17 00:00:00+00,ilot parcellaire,118369.097337185,2366.12617976244
35,90087,ROPPE,2020/08/14 00:00:00+00,ilot parcellaire,1379633.34033496,9236.99428196659
36,90011,BERMONT,2020/08/17 00:00:00+00,ilot parcellaire,33574.869615795,928.546479281989
37,90011,BERMONT,2020/08/17 00:00:00+00,ilot parcellaire,82739.15192207,1547.69812323505
38,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,616.77482231,98.8823720946471
39,90017,BOUROGNE,2020/08/17 00:00:00+00,ilot parcellaire,208298.693838235,2637.41795762127
40,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,6756.64406642,582.356427400726
41,90001,ANDELNANS,2020/08/17 00:00:00+00,ilot parcellaire,16480.7626802,999.475260466385
42,90103,VETRIGNE,2020/08/17 00:00:00+00,ilot parcellaire,64206.54612194,1624.6696825702
43,90032,DANJOUTIN,2020/08/17 00:00:00+00,ilot parcellaire,66249.341194895,2912.45401931491
44,90010,BELFORT,2020/08/17 00:00:00+00,ilot parcellaire,416367.145724475,5034.7915879811
45,90042,EVETTE SALBERT,2020/08/17 00:00:00+00,ilot parcellaire,156105.74433708,2107.1822801241
46,90042,EVETTE SALBERT,2020/08/17 00:00:00+00,ilot parcellaire,228149.04783537,3943.0172560138
47,90042,EVETTE SALBERT,2020/08/17 00:00:00+00,ilot parcellaire,7148.427729555,644.91854966343
