typologie;spécialité;FINESS;nom;"type handicap principal";adresse;CP;commune;"commune (COG)";département;région;"région (COG)";"longitude (X)";"latitude (Y)";marker-url;marker-size
Service;"service d'éducation spéciale et de soins à domicile";310783113;"CAP Midi-Pyrénées, antenne du Tarn-et-Garonne";"Handicap auditif";"2A rue Sadi Carnot";82000;Montauban;82121;Tarn-et-Garonne;Occitanie;76;1.36169;44.01677;http://opendata.onisep.fr/uploads/Image/39/54_801_picto_handicap_auditif_inverse.png;[32,32]
Etablissement;"Etablissement médicosocial";780800058;"Centre Claire Girard, antenne de Versailles";"Handicap moteur";"21 boulevard de la République";78000;Versailles;78646;Yvelines;Ile-de-France;11;2.147895;48.8069688;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";760802215;"Centre d'action médico-sociale précoce Beethoven";"Handicap auditif";"94 rue Saint-Julien";76000;Rouen;76540;Seine-Maritime;Normandie;28;1.0626000165939;49.413299560547;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";880006366;"Centre d'action médico-sociale précoce d'Epinal";"Handicap auditif";"42 avenue du Rose Poirier";88000;Épinal;88160;Vosges;Grand-Est;44;6.45977;48.2036;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";620117465;"Centre d'action médico-sociale précoce de Calais";"Handicap moteur";"35 rue Auber";62100;Calais;62193;Pas-de-Calais;Hauts-de-France;32;1.8502672;50.9458337;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";130799695;"Centre d'action médico-sociale précoce de l'hôpital Salvator de Marseille, section polyvalente";"Handicap moteur";"249 boulevard Sainte Marguerite";13009;Marseille;13200;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";93;5.41157;43.263037;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";500019559;"Centre d'action médico-sociale précoce de Saint-Lô";"Handicap auditif";"82 rue du Neufbourg";50000;Saint-Lô;50502;Manche;Normandie;28;-1.0922889709473;49.116458892822;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";590791737;"Centre d'action médico-sociale précoce de Villeneuve-d'Ascq";"Handicap moteur";"4 rue Papin";59491;Villeneuve-d'Ascq;59009;Nord;Hauts-de-France;32;3.12903;50.6475;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";930811427;"Centre d'action médico-sociale précoce Espoir 93";"Handicap auditif";"4 avenue de Verdun";93130;Noisy-le-Sec;93053;Seine-Saint-Denis;Ile-de-France;11;2.45439;48.89428;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";610780033;"Centre d'action médico-sociale précoce la Providence";"Handicap auditif";"103 chemin des Planches";61000;Alençon;61001;Orne;Normandie;28;0.0663526;48.4372911;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
