id_ceau,id_cer,type_ceau,obj_assi,classe1,classe2,delimit,est_corrid,est_reserv,commentair,long_m
FR32HL529,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",32413
FR32HL742,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",126
FR32HL622,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",152191
FR32HL623,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",31389
FR32HL814,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",944
FR32HL950,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",235
FR32HL1128,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",215
FR32HL1533,FR32CER2020,,,,,,,T,Réservoirs biologiques des SDAGE,1029
FR32HL1240,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",113
FR32HL1265,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",42
FR32HL1309,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",376
FR32HL1383,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",36
FR32HL1455,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",68100
FR32HL1555,FR32CER2020,,,,,,,T,Réservoirs biologiques des SDAGE,142
FR32HL743,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",296
FR32HL1597,FR32CER2020,,,,,,,T,Réservoirs biologiques des SDAGE,336
FR32HL1035,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",334
FR32HL1683,FR32CER2020,,,,,,,T,Réservoirs biologiques des SDAGE,801
FR32HL900,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",182
FR32HL1036,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",336
FR32HL565,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4209
FR32HL526,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4898
FR32HL527,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4590
FR32HL528,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1364
FR32HL530,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3635
FR32HL531,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4858
FR32HL537,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4099
FR32HL538,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3881
FR32HL532,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",13152
FR32HL533,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3681
FR32HL534,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1249
FR32HL535,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",704
FR32HL552,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4022
FR32HL536,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",7090
FR32HL539,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2131
FR32HL540,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1362
FR32HL541,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2518
FR32HL542,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2025
FR32HL543,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",651
FR32HL553,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",6325
FR32HL554,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",495
FR32HL545,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",9542
FR32HL546,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2237
