COLLEGES;ANNEE_2003;ANNEE_2004;ANNEE_2005;ANNEE_2006;ANNEE_2007;ANNEE_2008;ANNEE_2009;ANNEE_2010;ANNEE_2011;ANNEE_2012;ANNEE_2013;ANNEE_2014
AUTUN - Le Vallon;0;0;6;10;10;8;9;10;10;10;11;10
CHALON S/SAONE - Doisneau;5;6;9;9;9;10;8;10;11;9;14;21
CHALON S/SAONE - J. Prévert;0;0;0;0;0;0;0;0;0;4;10;12
CHATENOY LE ROYAL;0;5;11;11;11;9;10;12;15;17;10;15
Le CREUSOT - Centre;9;10;11;10;10;10;11;13;13;10;10;9
LOUHANS;0;10;11;12;14;13;11;10;11;12;20;25
MACON - Pasteur;10;11;11;12;10;10;10;10;9;10;10;11
MACON - Bréart;0;0;0;0;0;0;0;5;7;10;11;11
MONTCEAU les M. - J. Moulin;0;19;19;20;18;20;20;19;20;18;19;18
MONTCEAU les M. - St Exupéry;0;0;0;0;0;0;7;10;10;10;11;12
PARAY LE MONIAL;7;10;20;20;20;20;20;20;21;20;21;23
ST REMY;0;11;14;7;6;8;8;10;17;17;24;12
