Provenance;DateMAJ;Code Insee de la commune;Commune;TYPE;Gestionnaire;NOM;Enseigne;Adresse1;Adresse2;Capacité;Unité
OPENDATA41 - www.pilote41.fr;2013;41018;BLOIS;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);A.P.A.J.H. (Association pour adultes et jeunes handicapés);ESAT HORS LES MURS -  ASSOCIATION POUR ADULTES ET JEUNES HANDICAPÉS;APAJH 41;11 rue Alsace Lorraine;;37;Places
OPENDATA41 - www.pilote41.fr;2013;41018;BLOIS;ENTREPRISE ADAPTEE;A.A.M.I.P.I.- S.L.A.M.I. (Ass. d'Aide Matérielle et Intellectuelle  aux Personnes Inadaptées -;Fondation AMIPI-Bernard Vendre;;Parc d'Activités Blois Nord - Villebarou;4 rue de l'Erigny;85;Places
OPENDATA41 - www.pilote41.fr;2013;41059;CONTRES;ENTREPRISE ADAPTEE;A.I.H. D.A.C. (Association pour les Intérêts des Handicapés);ENTREPRISE ADAPTÉE DU PHÉNIX - AIHDAC;;4 rue Nicolas Appert;;120;Places
OPENDATA41 - www.pilote41.fr;2013;41047;LA CHAUSSEE-SAINT-VICTOR;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Les Papillons Blancs - A.D.A.P.E.I.;ESAT Du Moulin Chouard;ADAPEI 41;;925 RTE NATIONALE;62;Places
OPENDATA41 - www.pilote41.fr;2013;41120;LUNAY;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Association des Paralysés de France;ESAT APF (ASSOCIATION DES PARALYSÉS DE FRANCE);;ZA La Fosse Tricot;Route de Vendôme;59;Places
OPENDATA41 - www.pilote41.fr;2013;41143;MONDOUBLEAU;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Association pour Personnes Handicapés du Perche;ESAT ARCADE;;2 boulevard de l'Industrie;;46;Places
OPENDATA41 - www.pilote41.fr;2013;41151;MONTRICHARD;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Comité Départemental de l'A.P.A.J.H. (Association pour Adultes et Jeunes Handicapés);ESAT APAJH SERVICES;;Rue Lucien Lhotellier;;47;Places
OPENDATA41 - www.pilote41.fr;2013;41171;OUCQUES;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Association de Patronage de l’Institution Régionale de Jeunes Sourds Déficients auditifs multi-handi;ESAT DU CLAIR LOGIS;;Le Clair Logis;Rue de Janville;60;Places
OPENDATA41 - www.pilote41.fr;2013;41180;PONTLEVOY;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);LEDA (Les Espaces D'Avenirs);ESAT LES ESPACES D'AVENIRS;LEDA;DOMAINE DE ST GILLES - 66;68, route de Thenay;45;Places
OPENDATA41 - www.pilote41.fr;2013;41194;ROMORANTIN-LANTHENAY;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Comité Loir-et-Cher A.P.A.J.H.;ESAT DE LA SAULDRE;APAJH 41;La Dabinerie;Route de Longueville;49;Places
OPENDATA41 - www.pilote41.fr;2013;41194;ROMORANTIN-LANTHENAY;ENTREPRISE ADAPTEE;A.R.A.P.H. (Association Romorantinaise d'Aide aux Personnes Handicapées);ARAPH - ENTREPRISE ADAPTÉE;APAJH;Zone de Plaisance;Rue de Plaisance;22;Places
OPENDATA41 - www.pilote41.fr;2013;41232;SALBRIS;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);A.D.A.P.E.I.;ESAT DE BELLEVILLE;ADAPEI;9 rue Georges Genevier;;48;Places
OPENDATA41 - www.pilote41.fr;2013;41269;VENDOME;ENTREPRISE ADAPTEE;A.I.H.D.A.C. (Association pour les Intérêts des Handicapés);LES ATELIERS DU VENDOMOIS;A.I.H.D.A.C. (Association pour les Intérêts des Handicapés);8 boulevard de l'Industrie;;48;Places
OPENDATA41 - www.pilote41.fr;2013;41269;VENDOME;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Association des Parents et Amis des Handicapés Actifs du Vendômois (A.P.A.H.A.V.);ESAT DES COURTIS;APAHAV;ZI Sud le Temple - ZA des Courtis;8 rue Nicephore Niepce;61;Places
OPENDATA41 - www.pilote41.fr;2013;41295;VINEUIL;ENTREPRISE ADAPTEE;Institut Saint-Roch - 10 rue Xaintrailles - 45000 Orléans;SARL EXTERNALISATION ADMINISTRATIVE - BLOIS;DOCUMENTHOM A.E. BLOIS;;180 RUE JACQUARD;19;Places
OPENDATA41 - www.pilote41.fr;2013;41295;VINEUIL;ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (E.S.A.T.);Les Papillons Blancs - A.D.A.P.E.I.;ESAT LES LAUDIÈRES;ADAPEI 41;ZI;Rue Laënnec;84;Places
OPENDATA41 - www.pilote41.fr;2013;41295;VINEUIL;ENTREPRISE ADAPTEE;Adapéi;SASU ENTREPRISE ADAPTEE DES ATELIERS DU GRAIN D'OR;;;28 RUE DES GATS DE COEUR;33;Places
