Titre :;Pays-Bas, Taux de chômage (CVS)
Code série :;STS.M.NL.S.UNEH.RTT000.4.000
Unité :;Pourcent (PC)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;Eurostat (4D0)
Oct 2020;4,338887
Sep 2020;4,430784
Aoû 2020;4,560889
Jul 2020;4,496926
Jun 2020;4,342389
Mai 2020;3,595333
Avr 2020;3,416303
Mar 2020;2,931095
Fév 2020;2,941571
Jan 2020;3,0345
Déc 2019;3,233066
Nov 2019;3,479612
Oct 2019;3,470659
Sep 2019;3,469669
Aoû 2019;3,464567
Jul 2019;3,379591
Jun 2019;3,376735
Mai 2019;3,266069
Avr 2019;3,253662
Mar 2019;3,333622
Fév 2019;3,381267
Jan 2019;3,56587
Déc 2018;3,572673
Nov 2018;3,543121
Oct 2018;3,671115
Sep 2018;3,737228
Aoû 2018;3,85255
Jul 2018;3,81512
Jun 2018;3,882697
Mai 2018;3,866022
Avr 2018;3,912676
Mar 2018;3,939472
Fév 2018;4,0565
Jan 2018;4,191989
Déc 2017;4,365598
Nov 2017;4,382697
Oct 2017;4,468002
Sep 2017;4,659888
Aoû 2017;4,710738
Jul 2017;4,830789
Jun 2017;4,949022
Mai 2017;5,064902
Avr 2017;5,065374
Mar 2017;5,147721
Fév 2017;5,268269
Jan 2017;5,333512
Déc 2016;5,37861
Nov 2016;5,568051
Oct 2016;5,603062
Sep 2016;5,689667
Aoû 2016;5,81656
Jul 2016;6,043458
Jun 2016;6,14742
Mai 2016;6,268637
Avr 2016;6,39276
Mar 2016;6,437228
Fév 2016;6,522548
Jan 2016;6,458787
Déc 2015;6,612186
Nov 2015;6,700227
Oct 2015;6,905267
Sep 2015;6,832234
Aoû 2015;6,775032
Jul 2015;6,772447
Jun 2015;6,857298
Mai 2015;6,918999
Avr 2015;7,012617
Mar 2015;7,031551
Fév 2015;7,099802
Jan 2015;7,22733
Déc 2014;7,226805
Nov 2014;7,132695
Oct 2014;7,107416
