Année;Ozone (O3) - moyenne annuelle µg/m3;Ozone (O3) - maximum horaire;Ozone (O3) - jours de dépassement du seuil d'information;Ozone (O3) - date du maximum;Dioxyde d'azote (NO2) - moyenne annuelle µg/m3;Dioxyde d'azote (NO2) - maximum horaire;Dioxyde d'azote (NO2) - jours de dépassement du seuil d'information;Dioxyde d'azote (NO2) - date du maximum
2003;60;175;0;09/08/2003;14;122;0;10/02/2003
2004;57;166;0;28/07/2004;12;95;0;03/12/2004
2005;58;160;0;27/07/2005;14;119;0;20/09/2005
2006;58;204;1;18/07/2006;13;131;0;10/02/2006
2007;57;150;0;24/05/2007;12;99;0;15/11/2007
2008;58;131;0;07/05/2008;10;124;0;28/01/2008
2009;59;150;0;01/07/2009;12;118;0;07/01/2009
2010;59;137;0;19/07/2010;13;117;0;29/11/2010
2011;59;152;0;25/04/2011;12;80;0;19/01/2011
2012;58;190;1;26/07/2012;10;85;0;21/02/2012
2013;59;148;0;07/07/2013;10;93;0;03/12/2013
2014;62,1;144;0;24/07/2014;7;95,8;0;07/03/2014
