Année;Naissances INSEE;Naissances Etat civil;Décès INSEE;Décès Etat civil
1993;;1300;;864
1994;;1339;;854
1995;;1435;;901
1996;;1464;;943
1997;;1413;;965
1998;;1498;;916
1999;619;1516;600;933
2000;623;1503;590;951
2001;594;1482;594;975
2002;570;1351;570;936
2003;508;1387;610;1000
2004;521;1406;639;964
2005;470;1415;619;971
2006;462;1376;588;996
2007;428;1401;622;992
2008;442;1449;613;991
2009;404;1393;674;1078
2010;420;1400;593;1015
2011;390;1373;622;1063
2012;389;1425;625;1075
2013;359;1357;649;1134
2014;;1385;;1150
