Dépôts de brevet sous priorité;;;;;;
Source INPI/DE 2015;;;;;;
;;;;;;
Méthodologie : la répartition des dépôts est calculée de manière fractionnaire;;;;;;
;;;;;;
Année de dépôt;2009;2010;2011;2012;2013;2014
Dépôts sous priorité;1,368;1,405;1,703;1,649;1,674;1,545
dont personnes morales;1,164;1,182;1,493;1,455;1,468;1,35
françaises;196;207;202;242;234;265
étrangères;968;975;1,291;1,213;1,234;1,085
dont personnes physiques;204;223;210;194;206;195
françaises;116;136;103;98;108;101
étrangères;88;87;107;96;98;94
;;;;;;
Dépôts directs;14,738;15,175;15,054;14,983;15,212;14,988
dont personnes morales;12,06;12,758;12,882;12,909;13,125;12,921
françaises;11,411;12,085;12,278;12,231;12,352;12,178
étrangères;649;673;604;678;773;743
dont personnes physiques;2,678;2,417;2,172;2,074;2,087;2,067
françaises;2,572;2,32;2,073;1,97;1,993;1,956
étrangères;106;97;99;104;94;111
;;;;;;
Total;16,106;16,58;16,757;16,632;16,886;16,533
