id;compositeur;film
1;Marc Chouarain;Qu'est-ce qu’on a fait au bon Dieu ?
2;Alexandre Desplat;The grand Budapest hotel;Godzilla;Monuments men
3;Howard Shore;Le Hobbit : la désolation de Smaug
4;Armand Amar;Belle et Sébastien
5;Eric Serra;Lucy
6;Eric Neveux;Les vacances du petit Nicolas
7;Christophe Julien;9 mois ferme
8;Pierre Adenot;La belle et la bête
9;John Powell;Rio 2
10;Bernard Lenoir;Les trois frères, le retour
11;Ibrahim Maalouf;Yves Saint-Laurent
12;Michaël Tordjman;Babysitting
13;Marie-Jeanne Serero;Les garçons et Guillaume, à table !
14;Guillaume Roussel;Le crocodile du Botswanga;3 days to kill
15;Maxime Desprez;Babysitting
16;Thomas Roussel;Eyjafjallajökull;Amour sur place ou à emporter
17;Alexis Rault;Fiston
18;Laurent Ferlet;Sur le chemin de l'école
19;Philippe Sarde;Quai d'Orsay
20;Hervé Lavandier;Minuscule,La vallée des fourmis perdues
