SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
agorha.agriculture;;2016;Décembre;01 Dec 2016 - 08:02;30 Dec 2016 - 16:27;356;709;1,99;9591;13,53;20211;28,51;118,37;170,96
agorha.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 07:24;31 Dec 2016 - 17:59;1153;11501;9,97;1088500;94,64;5948444;517,21;31837,52;2834,68
agorha.agriculture.gouv.fr_mobilite;mobilite;2016;Décembre;01 Dec 2016 - 14:07;30 Dec 2016 - 16:11;12;40;3,33;1530;38,25;2229;55,73;11,16;285,65
agorha.agriculture_aia;aia;2016;Décembre;01 Dec 2016 - 08:02;30 Dec 2016 - 16:27;349;687;1,97;4864;7,08;14828;21,58;68,76;102,49
alim.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:23;5339;19191;3,59;25392445;1323,14;29832709;1554,52;33384,67;1781,35
alim.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2016;Décembre;01 Dec 2016 - 08:58;31 Dec 2016 - 21:55;253;337;1,33;2656;7,88;25467;75,57;194,71;591,65
alim.agriculture.gouv.fr_Vivants;Vivants;2016;Décembre;01 Dec 2016 - 11:48;28 Dec 2016 - 14:44;3;4;1,33;115;28,75;862;215,50;2,79;713,75
alim.agriculture.gouv.fr_cepp;cepp;2016;Décembre;01 Dec 2016 - 08:40;31 Dec 2016 - 11:00;525;835;1,59;3521;4,22;17066;20,44;280,67;344,20
alim.agriculture.gouv.fr_cepp-rs;cepp-rs;2016;Décembre;01 Dec 2016 - 08:17;31 Dec 2016 - 11:10;504;885;1,76;20501;23,16;20501;23,16;242,26;280,31
alim.agriculture.gouv.fr_choral;choral;2016;Décembre;01 Dec 2016 - 08:05;30 Dec 2016 - 10:53;20;84;4,20;3514;41,83;14815;176,37;72,17;879,85
alim.agriculture.gouv.fr_epiphyt;epiphyt;2016;Décembre;01 Dec 2016 - 09:22;28 Dec 2016 - 17:40;38;86;2,26;2464;28,65;8678;100,91;164,15;1954,55
alim.agriculture.gouv.fr_sfb;sfb;2016;Décembre;01 Dec 2016 - 09:15;30 Dec 2016 - 15:00;58;173;2,98;854;4,94;11010;63,64;29,05;171,96
alim.agriculture.gouv.fr_sial-bdni-consultation;sial-bdni-consultation;2016;Décembre;01 Dec 2016 - 11:07;30 Dec 2016 - 17:25;30;206;6,87;5187;25,18;5924;28,76;17,32;86,07
alim.agriculture.gouv.fr_sial-bdni-equarrissage;sial-bdni-equarrissage;2016;Décembre;02 Dec 2016 - 10:38;30 Dec 2016 - 09:18;8;20;2,50;35;1,75;79;3,95;0,17;8,80
alim.agriculture.gouv.fr_sial-bdni-statistiques;sial-bdni-statistiques;2016;Décembre;01 Dec 2016 - 07:13;31 Dec 2016 - 08:18;202;2371;11,74;59758;25,20;67996;28,68;105,92;45,74
alim.agriculture.gouv.fr_sial-biovigilance;sial-biovigilance;2016;Décembre;27 Dec 2016 - 11:12;28 Dec 2016 - 17:42;1;3;3,00;735;245,00;744;248,00;0,90;308,00
