SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
ac.national.agri;;2020;Décembre;01 Dec 2020 - 00:02;31 Dec 2020 - 23:56;848;1668;1,97;274060;164,30;477585;286,32;3449,44;2117,65
agorha.agriculture;;2020;Décembre;01 Dec 2020 - 08:11;30 Dec 2020 - 17:21;104;173;1,66;15104;87,31;16070;92,89;211,06;1249,31
agorha.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 05:11;31 Dec 2020 - 20:01;1875;4711;2,51;225184;47,80;1712702;363,55;8745,84;1901,03
agorha.agriculture.gouv.fr_mobilite;mobilite;2020;Décembre;01 Dec 2020 - 05:11;31 Dec 2020 - 16:17;168;334;1,99;28993;86,81;32637;97,72;209,02;640,83
agorha.agriculture_aia;aia;2020;Décembre;01 Dec 2020 - 09:08;30 Dec 2020 - 17:21;85;151;1,78;14121;93,52;14994;99,30;189,48;1284,93
agorha.agriculture_atmp;atmp;2020;Décembre;01 Dec 2020 - 08:11;24 Dec 2020 - 08:19;21;22;1,05;932;42,36;1021;46,41;20,65;961,09
agreste.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:00;31 Dec 2020 - 23:59;28204;72206;2,56;2788276;38,62;4021401;55,69;172076,28;2440,33
agreste.agriculture.gouv.fr_agreste-saiku;agreste-saiku;2020;Décembre;01 Dec 2020 - 06:41;31 Dec 2020 - 23:15;2214;3373;1,52;90504;26,83;416068;123,35;30949,13;9395,76
agreste.agriculture.gouv.fr_agreste-web;agreste-web;2020;Décembre;01 Dec 2020 - 00:00;31 Dec 2020 - 23:59;28095;71832;2,56;2697772;37,56;3605333;50,19;141127,15;2011,84
alim.agriculture.gouv.fr;;2020;Décembre;01 Dec 2020 - 00:00;31 Dec 2020 - 23:36;10968;30475;2,78;26578198;872,13;30309445;994,57;82080,53;2758,01
alim.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2020;Décembre;NA;NA;0;0;0,00;0;0,00;270;0,00;5,53;0,00
alim.agriculture.gouv.fr_Vivants;Vivants;2020;Décembre;NA;14 Dec 2020 - 16:55;4;4;1,00;37;9,25;1864;466,00;1,92;491,75
alim.agriculture.gouv.fr_cepp;cepp;2020;Décembre;01 Dec 2020 - 04:12;31 Dec 2020 - 18:26;1130;1817;1,61;6496;3,58;35329;19,44;721,77;406,77
alim.agriculture.gouv.fr_cepp-rs;cepp-rs;2020;Décembre;01 Dec 2020 - 04:12;31 Dec 2020 - 20:02;1097;1884;1,72;42477;22,55;42477;22,55;1939,03;1053,91
alim.agriculture.gouv.fr_choral;choral;2020;Décembre;01 Dec 2020 - 08:35;31 Dec 2020 - 18:16;23;67;2,91;6510;97,16;33479;499,69;158,66;2424,85
alim.agriculture.gouv.fr_epiphyt;epiphyt;2020;Décembre;01 Dec 2020 - 11:50;30 Dec 2020 - 18:46;29;70;2,41;2624;37,49;10124;144,63;152,93;2237,21
alim.agriculture.gouv.fr_ift;ift;2020;Décembre;01 Dec 2020 - 00:54;31 Dec 2020 - 23:19;2439;3601;1,48;39993;11,11;87148;24,20;2210,32;628,54
alim.agriculture.gouv.fr_ift-api;ift-api;2020;Décembre;01 Dec 2020 - 05:51;31 Dec 2020 - 19:52;2182;3298;1,51;195042;59,14;195866;59,39;525,69;163,22
alim.agriculture.gouv.fr_sfb;sfb;2020;Décembre;01 Dec 2020 - 08:05;31 Dec 2020 - 10:00;48;81;1,69;202;2,49;5525;68,21;10,77;136,14
