Caf;Pieces arrivées en 2012
CAF de l'Ain;1136571
CAF de L'Aisne;1314679
CAF de l'Allier;799540
CAF des Alpes de Haute-Provence;336469
CAF des Hautes-Alpes;292735
CAF des Alpes-Maritimes;2601098
CAF de L'Ardèche;592161
CAF des Ardennes;716114
CAF de l'Ariège;350027
CAF de l'Aube;639854
CAF de l'Aude;879568
CAF de l'Aveyron;517898
CAF des Bouches-Du-Rhône;4517757
CAF du Calvados;1540834
CAF du Cantal;274217
CAF de la Charente;635229
CAF de la Rochelle;1166788
Caisse Maritime D'AF;97002
CAF du Cher;611716
CAF de la Correze;442676
CAF de Corse du Sud;263918
CAF de la Haute-Corse;323253
CAF de la Côte d'Or;1319982
CAF des Côtes d'Armor;1232439
CAF de la Creuse;196893
CAF de la Dordogne;883224
CAF du Doubs;1145692
CAF de la Drome;1058684
CAF de l'Eure;1313912
CAF de l'Eure-et-Loir;882943
CAF du Finistère;1477967
CAF du Gard;1653245
CAF de la Haute-Garonne;3012496
CAF du Gers;377946
CAF de la Gironde;3116169
CAF de L'Hérault;3754506
CAF de l'Ille-et-Vilaine;2056672
CAF de l'Indre;408203
CAF Touraine;1221723
CAF de L'Isère;2517428
CAF du Jura;455347
CAF des Landes;692222
CAF de Loir-et-Cher;658933
CAF de la Loire;1408516
CAF de la Haute-Loire;391784
CAF de Loire-Atlantique;2722953
CAF du Loiret;1390193
CAF du Lot;346538
CAF de Lot-et-Garonne;800673
CAF de la Lozere;182292
CAF de Maine-et-Loire;1614525
CAF de la Manche;940609
CAF de la Marne;1234111
CAF de la Haute-Marne;374451
CAF de la Mayenne;502999
CAF de la Meurthe-et-Moselle;1496168
CAF de la Meuse;431259
CAF du Morbihan;1353832
CAF de la Moselle;2125431
CAF de la Nièvre;424849
CAF du Nord;6487248
CAF de l'Oise;1700161
CAF de l'Orne;592857
CAF du Pas de Calais;3242199
CAF du Puy-de-Dôme;1375812
CAF du Pays Basque et Seignanx;611183
CAF du Béarn et de la Soule;717150
CAF des Hautes-Pyrénées;594482
CAF des Pyrénées-Orientales;1232382
CAF du Bas-Rhin;2112131
CAF du Haut-Rhin;1458314
CAF du Rhône;3969918
CAF de la Haute-Saône;483978
CAF de la Saône-et-Loire;1054449
CAF de la Sarthe;1092327
CAF de la Savoie;822169
CAF de la Haute Savoie;1216889
CAF de Paris;5666879
CAF de Seine Maritime;2806861
CAF de Seine-et-Marne;2187632
CAF des Yvelines;2208198
CAF des Deux-Sèvres;596925
CAF de la Somme;1646262
CAF du Tarn;717596
CAF de Tarn-et-Garonne;633672
CAF du Var;2386064
CAF du Vaucluse;1351690
CAF de la Vendée;972395
CAF de la Vienne;916167
CAF de la Haute-Vienne;871450
CAF des Vosges;1028050
CAF de l'Yonne;683993
CAF du Territoire de Belfort;347577
CAF de l'Essonne;2075317
CAF des Hauts-de-Seine;2687227
CAF de Seine-Saint-Denis;4385001
CAF du Val-de-Marne;2822642
CAF du Val d'Oise;2325925
CAF de la Guadeloupe;1141463
CAF de la Martinique;923620
CAF de la Guyane;597246
CAF de la Réunion;2258348
