Association   ,Thème
Le stade du Football club de Montreuil,Sport
Gym sport et loisirs,Sport
Association de sauvegarde du château,Patrimoine et Culture
"La Loire, groupe folklorique",Patrimoine et Culture
"Mélomania, concerts de l'église Saint-Martin",Musique
"Association Saint-Martin, association de l'église catholique",Religion
"La Ferdasse, association du Moyen Âge",Patrimoine et Culture
Association des parents d'élèves (APE) (avec Neuillé-le-Lierre),Education
Association équestre « La Perchais »,Sport
Bar associatif « Le P'tit Montreuillois » (ouverture occasionnelle),Evènementiel
,
Source : site institutionnel Montreuil-en-touraine 2016,
