Annee;Age;Eff_Fem;Eff_Hom;Droits_Fem;Droits_Hom;DureeCot_Fem;DureeCot_Hom
2015;55-59;114;273;2 376;2 580;12,7;9,5
2015;60;2622;3702;3 510;2 953;12,2;8,6
2015;61;7208;5154;2 859;2 941;10,9;8,2
2015;62;18404;8651;2 605;2 976;10;8
2015;63;4226;3471;3 487;4 833;10,8;9,8
2015;64;2838;2507;4 030;6 115;11,1;11
2015;65;10285;5624;3 404;6 968;10,4;11,9
2015;66;4895;3729;3 498;6 698;10,6;12,3
2015;67;1413;1519;3 874;7 711;10,8;13
2015;68;832;1234;6 580;11 791;12,9;15,2
2015;69;462;780;4 211;6 805;11,4;13,4
2015;70;278;480;3 961;5 075;11,8;13
2015;71;214;376;3 686;3 966;12,1;13,1
2015;72;149;333;2 200;3 127;10,4;12,9
2015;73;113;310;2 765;4 135;10,8;14,3
2015;74;74;231;2 019;3 937;9,9;13,4
2015;75;47;189;1 873;4 545;10;15
2016;55-59;97;204;3 007;2 687;15;9,4
2016;60;2990;4210;3 250;2 823;12,2;8
2016;61;3091;3754;2 929;2 815;10,7;8,2
2016;62;24818;10784;2 608;2 865;10,3;7,9
2016;63;5268;3580;3 288;4 694;10,3;9,4
2016;64;3068;2456;4 316;7 161;11,4;10,7
2016;65;7733;4615;3 527;6 834;10,8;11,8
2016;66;4438;3212;3 515;6 498;10,4;12,1
2016;67;1203;1264;4 912;9 152;11,8;12,5
2016;68;732;829;7 333;11 096;13,5;14
2016;69;350;556;4 102;6 830;11,1;12,2
2016;70;292;398;4 359;6 704;10,8;12,5
2016;71;132;217;3 781;4 236;10,5;12
2016;72;117;171;2 176;3 758;10,2;12,2
2016;73;79;147;2 925;2 753;9,8;10,4
2016;74;55;104;3 227;4 066;9,7;11,3
2016;75;56;73;1 904;2 415;10,2;10,9
2017;55-59;67;155;2 656;2 171;12,9;8,3
2017;60;3396;4803;3 067;2 658;12,2;8
2017;61;3598;3928;2 819;2 683;11,2;8,1
2017;62;24640;10290;2 616;3 166;10,7;8,2
2017;63;7978;4768;2 870;4 229;9,8;9,1
2017;64;3747;2803;4 070;6 177;11,4;10,7
2017;65;4626;3117;4 219;7 310;11,6;12,2
2017;66;6037;3853;3 214;6 050;10,3;11,7
2017;67;1346;1226;4 449;8 135;11,5;12,6
2017;68;656;821;5 256;11 195;11,6;13,8
2017;69;377;545;4 383;7 439;11;12,4
2017;70;314;501;4 504;5 339;12,3;13,1
2017;71;205;272;3 059;4 814;10,4;12,1
2017;72;112;146;3 740;4 133;11,9;12,5
2017;73;85;122;3 617;3 112;10,5;11,2
2017;74;78;108;2 164;4 127;8,4;12
2017;75;52;91;2 207;4 311;9,6;12,6
2018;55-59;66;119;2 529;2 252;12;9,9
2018;60;2864;3790;3 397;2 689;13,5;8,3
2018;61;3304;3506;2 905;2 808;11,8;8,3
2018;62;22518;8883;2 733;3 089;11;8,3
2018;63;12278;5906;2 840;3 874;10,4;8,9
2018;64;3870;2743;4 076;5 828;11,6;10,8
2018;65;3295;2589;4 773;6 880;12,6;12,4
2018;66;8236;4618;3 626;7 142;10,8;12,5
2018;67;1677;1591;4 141;7 480;10,8;11,4
2018;68;722;797;6 502;9 378;12,1;13,6
2018;69;367;463;5 457;9 921;12,1;13,2
2018;70;276;462;6 334;11 007;12,8;14,8
2018;71;205;288;4 021;6 190;12,3;13
2018;72;113;158;4 114;4 537;11,1;13,3
2018;73;63;101;2 969;3 486;8,9;11,5
2018;74;44;82;4 464;3 433;10,6;13,5
2018;75;46;87;2 314;2 434;9,6;11,7
