Date;Nombre de sessions;Nombre d'utilisateurs;Durée moyenne des sessions;Taux de rebond;Pages / session
01/02/2017;7408;6058;00:01:51;62,27;2,21
01/06/2017;7431;5608;00:01:43;62,00;2,06
01/08/2017;6997;5855;00:01:29;65,14;2,06
01/09/2017;8743;7186;00:01:32;64,69;2,01
01/10/2017;7810;6482;00:01:37;63,74;2,08
01/11/2017;9262;7572;00:01:33;61,51;2,05
01/12/2017;5562;4705;00:01:19;65,53;1,98
01/01/2018;7460;6373;00:01:40;62,38;2,15
01/02/2018;6590;5427;00:01:27;65,69;2,02
01/03/2018;7813;6550;00:01:24;66,35;1,96
01/05/2018;7270;6029;00:01:22;66,20;1,96
