Section;Sens;Sous Rubrique (Code);Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;;;;0;0
;D;;;0;0
;; ;011;3 819 400,00;3 173 226,57
;; ;012;1 201 782,00;1 191 866,13
;; ;023;0,00;0,00
;; ;042;193 139,00;193 137,19
;; ;65;72 289,00;50 286,87
;; ;66;869,00;247,53
;; ;67;26 100,00;15 916,07
;R;;;0;0
;; ;002;1 962 957,61;1 962 957,61
;; ;013;0,00;1 800,90
;; ;042;21 427,00;18 549,00
;; ;70;4 399 446,00;4 539 022,84
;; ;74;305 000,00;554 295,14
;; ;75;0,00;19,06
;; ;77;0,00;665,29
I;;;;0;0
;D;;;0;0
;; ;040;21 427,00;18 549,00
;; ;10;0,00;0,00
;; ;13;0,00;0,00
;; ;16;5 700,00;5 690,92
;; ;20;37 000,00;864,00
;; ;21;485 420,03;18 537,95
;; ;23;11 252,00;10 473,19
;R;;;0;0
;; ;001;368 271,22;368 271,22
;; ;021;0,00;0,00
;; ;040;193 139,00;193 137,19
;; ;10;76 100,00;8 007,00
;; ;13;0,00;2 943,00
