STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Ambès1,NO2,2012-01-01,0,0,0,0,0,0,0,1,0,1,2,2,2,2,2,4,13,14,11,7,8,11,11,7,0,14,4
Ambès1,NO2,2012-01-02,,0,0,0,0,1,7,8,6,8,4,4,1,1,2,2,5,20,21,9,11,8,4,4,0,21,5
Ambès1,NO2,2012-01-03,8,10,14,11,12,17,30,35,42,33,29,20,8,4,5,6,7,7,3,2,5,8,5,3,2,42,14
Ambès1,NO2,2012-01-04,1,3,4,2,1,3,18,22,39,14,9,4,3,3,1,5,5,25,15,8,3,0,0,0,0,39,8
Ambès1,NO2,2012-01-05,2,2,0,0,0,1,3,3,0,1,0,0,0,10,8,3,2,1,1,0,0,0,0,0,0,10,2
Ambès1,NO2,2012-01-06,0,0,0,3,6,14,15,6,6,2,1,4,1,0,3,4,6,25,46,34,26,30,24,19,0,46,11
Ambès1,NO2,2012-01-07,13,14,13,31,41,40,28,8,14,12,8,3,4,0,0,0,4,15,7,6,7,1,1,2,0,41,11
Ambès1,NO2,2012-01-08,4,0,0,1,1,0,2,9,9,2,3,1,0,0,1,1,2,3,4,2,0,0,0,0,0,9,2
Ambès1,NO2,2012-01-09,,0,0,18,29,7,23,24,28,25,10,1,0,3,5,10,17,27,23,16,17,14,9,6,0,29,14
Ambès1,NO2,2012-01-10,6,4,4,5,9,22,33,23,25,12,9,8,5,5,5,2,20,21,16,9,10,7,7,8,2,33,11
Ambès1,NO2,2012-01-11,8,6,6,7,15,18,20,23,28,22,20,18,13,17,18,23,30,35,36,36,36,36,34,31,6,36,22
Ambès1,NO2,2012-01-12,27,25,22,19,21,23,25,27,27,25,24,21,21,22,19,26,26,20,15,10,12,12,16,14,10,27,21
Ambès1,NO2,2012-01-13,10,7,3,2,2,7,11,5,4,3,4,4,7,9,11,16,16,27,19,16,13,15,10,4,2,27,9
Ambès1,NO2,2012-01-14,3,3,2,2,4,11,25,25,20,18,8,6,3,6,7,11,15,36,27,26,40,37,34,26,2,40,16
Ambès1,NO2,2012-01-15,17,13,6,5,3,2,3,3,2,3,2,2,2,4,4,3,5,4,4,4,4,6,6,4,2,17,5
Ambès1,NO2,2012-01-16,,4,4,6,6,8,22,22,16,14,14,14,11,11,13,15,18,18,15,11,9,8,7,6,4,22,12
Ambès1,NO2,2012-01-17,6,7,5,4,6,9,10,14,19,17,14,16,18,17,18,20,29,34,34,34,33,28,24,23,4,34,18
Ambès1,NO2,2012-01-18,23,21,19,17,19,23,22,21,20,28,26,34,31,12,19,34,52,64,63,62,59,51,39,25,12,64,33
Ambès1,NO2,2012-01-19,13,15,20,17,22,28,33,37,42,41,45,38,8,4,3,2,6,5,3,1,2,0,0,0,0,45,16
