Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
"ASCAQU047V5009BT","16/02/2015","Activité sportive","Activités sportives au ""Saut du Loup"" ","","","","Lac Saut du Loup","47800","MIRAMONT-DE-GUYENNE","47168","+33 9 81 43 32 08","+33 6 98 94 47 47","http://www.lesdomainesdusautduloup.fr","0.3757182","44.586934","Oui","
","Basket Tir à l’arc Canoé kayak Equitation Cyclotourisme Moto-cross VTT Football Rugby","","","","15/04/2015|31/08/2015|||||","","","","","Point wifi"
"ASCAQU040FS001QF","11/02/2015","Activité sportive","Adrénaline Parc","Route des Lacs 
","A la sortie de Moliets Direction Messange","Lieu Dit Thomas","","40660","MOLIETS ET MAÂ","40187","+33 5 58 48 56 62","","www.adrenalineparc.fr"," -1.3631737","43.8422499","Oui","
","Accro-branches Paint-ball Quad","","","","01/04/2015|01/11/2015|||||","","","","",""
"ASCAQU040FS0003G","02/01/2015","","Aquit'Quad Chalosse","Monsieur COMET
","Maison Dumène","","","40330","GAUJACQ","40109","","+33 6 87 84 16 37","www.aquitquadchalosse.com"," -0.7404290","43.6400610","","
","Quad Quad","","","","","|||FORMULE rando quad 1 heure # |||Formule 2 (1/2 journée) Accueil café/Briefing- Rando Quad (1h30) - Repas terroir # |||Formule : accueil café/rando/repas/rando # |||Formule : accueil café/rando/repas/initiation kart cross/rando","","","",""
"ASCAQU033FS0008U","29/01/2015","Activité sportive","Arcachon Marine","4 quai du Capitaine Allègre
","Port de Plaisance","","","33120","ARCACHON","33009","+33 5 57 72 23 23","","www.motorloisirs.com"," -1.144170","44.656704","Oui","
","Motonautisme (bateau à moteur) Scooter de mer Bouées tractées Quad Jet-ski","","","","01/01/2015|31/12/2015|||||","","","","",""
"ASCAQU033FS00077","17/02/2015","Activité sportive","Association Sportive Automobile","circuit de Faleyras
","route de Marchand","","","33760","FALEYRAS","33163","+33 5 56 23 49 08","+33 6 70 00 14 33",""," -0.2371931","44.7510611","Oui","
","Automobile","","","","09/02/2015|31/12/2015|||||","","","","",""
"LOIAQU024FS0003Q","12/02/2015","Circuit automobile ou moto","Bergerac karting","la cavaille
","","","","24100","SAINT-LAURENT-DES-VIGNES","24437","+33 5 53 74 15 04","","www.bergerac-karting.com","0.45152306","44.8321119","Oui","
","","","","","15/02/2015|30/06/2015|||13:00|18:00|Lundi - Mardi # 01/09/2015|15/12/2015|||13:00|18:00|Lundi - Mardi # 01/07/2015|31/08/2015|||13:00|19:30|","Tarif de base|14,00|16,00|été: enfants 14€ et adultes 16€ # Tarif de base|13,00|15,00|hors saison: enfants: 13€ et adultes : 15€","","","",""
"ASCAQU064FS000KB","15/03/2015","Activité sportive","Biarritz Scooter","","","50 Avenue de l'Impératrice ","","64200","BIARRITZ","64122","+33 5 59 47 26 01","",""," -1.5518188","43.4910393","Oui","
","Cyclotourisme Scooter","","","","02/01/2015|31/12/2015|||||","","","","","Location de vélo"
"ASCAQU033FS000TP","02/01/2015","Activité sportive","Bordeaux Racing","circuit de Bordeaux-Mérignac
","rue Marcel Issartier","","","33700","MERIGNAC","33281","+33 5 56 34 94 19","+33 6 12 70 64 89",""," -0.6867939","44.8391346","Oui","
","Automobile","","","","","","","","",""
"ASCAQU047FS0005Q","05/02/2015","Activité sportive","Buggy Vasion ","","","","Béral","47500","CONDEZAYGUES","47070","","+33 6 32 32 86 09","www.buggy-vasion.com","0.89489221","44.4916073","Oui","
","Buggies","","","","01/01/2015|31/12/2015|||||","Tarif de base|60,00||randonnée 1 heure en buggy , prix par machine # Tarif de base|85,00||randonnée 1h30 en buggy , prix par machine # Tarif de base|103,00||randonnée 2 heures en buggy , prix par machine # Tarif de base|125,00||randonnée 2h30 en buggy , prix par machine # Tarif de base|148,00||randonnée 3 heures, prix par machine # Tarif de base|195,00||randonnée 4h, prix par machine","","","",""
"ASCAQU033FS000ES","18/05/2015","Activité sportive","Central Garage","15 avenue de l'Europe
","","","","33680","LACANAU OCEAN","33214","+33 5 56 26 99 65","","www.centralgarage-lacanau.fr"," -1.1953371","45.0019253","Oui","
","VTT Cyclotourisme Quad","","","Accueil Vélo # Vélodyssée","01/03/2015|30/11/2015|||||","","","","","Location de vélo"
