"Espèce","Date","Lieu"
"  Acer platanoides L.  ","06/04/2013","carrière de Brocas, forêt humide"
"  Achillea millefolium L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Alnus glutinosa (L.) Gaertn.  ","06/04/2013","carrière de Brocas, forêt humide"
"  Arabidopsis thaliana (L.) Heynh.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Asplenium scolopendrium L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Bellis perennis L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Capsella rubella Reut.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Cardamine hirsuta L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Cerastium glomeratum Thuill.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Corynephorus canescens (L.) P.Beauv.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Crataegus monogyna Jacq.  ","06/04/2013","carrière de Brocas, forêt humide"
"  Erodium aethiopicum subsp. pilosum (Thuill.) Guitt.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Erophila verna (L.) Chevall.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Festuca rubra L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Geranium molle L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Juncus effusus L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Lamium purpureum L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Luzula campestris (L.) DC.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Medicago arabica (L.) Huds.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Poa annua L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Poa pratensis L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Potentilla montana Brot.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Potentilla montana Brot.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Primula vulgaris Huds.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Primula vulgaris Huds.  ","06/04/2013","carrière de Brocas, forêt humide"
"  Quercus pedunculata Ehrh.  ","06/04/2013","carrière de Brocas, forêt humide"
"  Ranunculus ficaria L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Sambucus nigra L.  ","06/04/2013","carrière de Brocas, forêt humide"
"  Sambucus nigra L.  ","06/04/2013","carrière de Brocas, forêt humide"
"  Stellaria media (L.) Vill.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Valerianella olitoria (L.) Pollich  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Veronica chamaedrys L.  ","06/04/2013","carrière de Brocas, bord d'étang"
"  Veronica persica Poir.  ","06/04/2013","carrière de Brocas, bord d'étang"
,,
"  Primula vulgaris Huds.  ","16/04/2005","Estrigon – Le Pin"
,,
"  Calluna vulgaris (L.) Hull  ","06/04/2013","Bacouillès, Lande sèche"
"  Erica cinerea L.  ","06/04/2013","Bacouillès, Lande sèche"
"  Erica scoparia L.  ","06/04/2013","Bacouillès, Lande sèche"
"  Pinus pinaster Aiton  ","06/04/2013","Bacouillès, Lande sèche"
"  Pteridium aquilinum (L.) Kuhn  ","06/04/2013","Bacouillès, Lande sèche"
"  Quercus pyrenaica Willd.  ","06/04/2013","Bacouillès, Lande sèche"
"  Rubia peregrina L.  ","06/04/2013","Bacouillès, Lande sèche"
"  Ulex europaeus L.  ","06/04/2013","Bacouillès, Lande sèche"
,,
"  Clandestina rectiflora Lam.  ","07/04/2013","Ruisseau de Barbe, ripisylve"
,,
"  Achillea millefolium L.  ","07/04/2013","la paillère, prairie humide"
"  Alnus glutinosa (L.) Gaertn.  ","07/04/2013","la paillère, prairie humide"
"  Arum maculatum L.  ","07/04/2013","la paillère, prairie humide"
"  Asplenium trichomanes L.  ","07/04/2013","la paillère, prairie humide"
"  Cardamine pratensis L.  ","07/04/2013","la paillère, prairie humide"
"  Chelidonium majus L.  ","07/04/2013","la paillère, prairie humide"
"  Chrysosplenium oppositifolium L.  ","07/04/2013","la paillère, prairie humide"
"  Euphorbia helioscopia L.  ","07/04/2013","la paillère, prairie humide"
