"Année"	"Date"	"Événement"
2011	"Samedi 15 janvier "	"Vœux du Maire à la Salle de l'étang"
2011	"Samedi 15 janvier "	"Cercle des travailleurs Soirée spectacle, concert pour piano avec Christiane Gigoux"
2011	"Vendredi 21 janvier"	"Cercle des travailleurs Soirée gastronomie Sauce de cochon"
2011	"Vendredi 28 janvier"	"Cercle taurin Assemblée Générale (Salle de l'étang)"
2011	"Février"	"Ouverture de la saison de pêche pour l'initiation des enfants"
2011	"Vendredi 18 février"	"Cercle des travailleurs Soirée gastronomie Poule au pot"
2011	"Mercredi 9 mars"	"Cercle des travailleurs Soirée gastronomie Morue"
2011	"Samedi 12 mars "	"U.S.B. Football Repas (salle de l'étang)"
2011	"Samedi 12 mars "	"Cercle des travailleurs Soirée spectacle Deux figurants"
2011	"Samedi 19 mars "	"D.F.C.I. Assemblée Générale à 11h00 (Mairie)"
2011	"Samedi 19 mars "	"Comité des fêtes Carnaval"
2011	"Samedi 2 avril "	"Cercle des travailleurs Soirée spectacle Chourinette Bayard"
2011	"Samedi 2 avril "	"Les Amis des Forges Exposition des métiers d'art (salle de l'étang)"
2011	"Dimanche 3 avril "	"Les Amis des Forges Exposition des métiers d'art (salle de l'étang)"
2011	"Samedi 9 avril "	"A.C.C.A. Banquet annuel"
2011	"Dimanche 10 avril "	"Printemps des Landes au Musée des Forges"
2011	"Samedi 16 avril "	"Brocas Pétanque Repas (salle de l'étang) : première soirée grillades"
2011	"Dimanche 17 avril "	"Printemps des Landes au Musée des Forges"
2011	"Vendredi 22 avril "	"Cercle des travailleurs Soirée gastronomie Panturon"
2011	"Dimanche 1er mai "	"Cercle des travailleurs Soirée gastronomie Omelette Pascale"
2011	"Dimanche 8 mai"	"Commune / Anciens combattants Commémoration Armistice 1939-1945 "
2011	"Samedi 14 mai "	"Cercle des travailleurs Soirée spectacle Chourinette Bayard"
2011	"Samedi 21 mai "	"U.S.B. Tennis Repas (salle de l'étang)"
2011	"Vendredi 27 mai "	"Brocas Pétanque Repas (salle de l'étang) : deuxième soirée grillades"
2011	"Mercredi 1er juin "	"Brocas Pétanque Concours en triplettes promotion"
2011	"Samedi 11 juin "	"Les Amis des Forges Ouverture de la saison (Musée des Forges)"
2011	"Samedi 11 juin "	"Commune / Associations Brocas fête l'Eté aux Arênes, éléction de Miss et Mister Brocas"
2011	"Samedi 18 juin "	"Danse BROC'ATTITUDE Gala bi-annuel (Salle des Fêtes de Labrit)"
2011	"Samedi 19 juin "	"Danse BROC'ATTITUDE Gala bi-annuel (Salle des Fêtes de Labrit)"
2011	"Vendredi 1 juillet "	"Syndicat d'initiative Ouverture de la Saison touristique"
2011	"Vendredi 1 juillet "	"Commune / Comité des fêtes Début des Fêtes patronales : remise des clés des Fêtes par Mr le Maire"
2011	"Vendredi 1 juillet "	"A.C.C.A. Paëlla (Fronton) …"
2011	"Samedi 2 juillet "	"Danse BROC'ATTITUDE Spectacle (Fronton)"
2011	"Dimanche 3 juillet "	"Brocas Pétanque Repas (Fronton)"
2011	" Lundi 4 juillet "	"U.S.B. Pelote Repas à la mode basque (Fronton)"
2011	"Lundi 4 juillet "	"Brocas Pétanque Concours de pétanque communal"
2011	"Jeudi 14 juillet "	"Journée organisée par Le Foot, le Syndicat d'Initiative, l'ACCA et le Cercle"
2011	"Vendredi 22 juillet "	"Brocas Pétanque Concours en doublettes mixtes"
2011	"Vendredi 29 juillet "	"Commune Marché de Producteurs de Pays sur l'Esplanade le l'Etang"
2011	"Samedi 27 aout"	"A.C.C.A Assemblée Générale (Mairie)"
2011	"Vendredi 9 septembre "	"Brocas Pétanque Concours en doublettes promotion"
2011	"Samedi 24 septembre "	"Cercle des travailleurs Soirée spectacle Chourinette Bayard"
2011	"Samedi 24 septembre "	"Landinux Tour d'horizon : Madagascar"
2011	"Dimanche 2 octobre "	"Les Amis de l'Estrigon Kermesse"
2011	"Vendredi 7 octobre "	"Cercle des travailleurs Soirée gastronomie Tête de veau"
2011	"Samedi 15 octobre "	"Cercle des travailleurs Soirée spectacle"
2011	"Samedi 22 octobre "	"Brocas Pétanque Assemblée générale"
2011	"Vendredi 11 novembre "	"Commune / Anciens combattants Commémoration Armistice 1914-1918"
2011	"Vendredi 25 novembre "	"Cercle des travailleurs Soirée gastronomie Axoa"
2011	"Samedi 10 décembre "	"Comité des fêtes Assemblée générale"
2011	"Samedi 10 décembre "	"Cercle des travailleurs Soirée spectacle"
2011	"Samedi 31 décembre "	"A.C.C.A. Réveillon Saint Sylvestre"
