"BP 2010"	"Fonctionnement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	1036206	763258
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	0
"Reports"	"Résultat de Fonctionnement reporté "	0	272948
	"Total de la section Fonctionnement"	1036206	1036206
"BP 2010"	"Investissement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	1037600	1210575
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	87300	11602
"Reports"	"Solde d'exécution de la section Investissement reporté"	97277	0
	"Total de la section Investissement"	1222177	1222177
	"TOTAL DU BUDGET"	2258383	2258383
