"Élections présidentielles 2007 – 1er tour"	"Voix"	"% Inscrits"	"% Exprimés"
"Olivier BESANCENOT"	12	2,02	2,31
"Marie-George BUFFET"	3	0,51	0,58
"Gérard SCHIVARDI"	4	0,67	0,77
"François BAYROU"	119	20,03	22,93
"José BOVÉ"	2	0,34	0,39
"Dominique VOYNET"	11	1,85	2,12
"Philippe de VILLIERS"	7	1,18	1,35
"Ségolène ROYAL"	163	27,44	31,41
"Frédéric NIHOUS"	15	2,53	2,89
"Jean-Marie LE PEN"	29	4,88	5,59
"Arlette LAGUILLER"	7	1,18	1,35
"Nicolas SARKOZY"	147	24,75	28,32
			
"Élections présidentielles 2007 – 2ème tour"	"Voix"	"% Inscrits"	"% Exprimés"
"Nicolas SARKOZY"	249	41,92	47,43
"Ségolène ROYAL"	276	46,46	52,57
