"USB1 Foot"	"Classement 2012"	"Pts"	"J"	"G"	"N"	"P"	"F"	"Bp"	"Bc"	"Pénalités"	"Diff"
"1."	"Labrit G/Albt"	81	22	19	2	1	0	85	21	0	64
"2."	"Parentis F.C."	73	22	17	0	5	0	75	34	0	41
"3."	"Brocas U.S"	70	22	15	3	4	0	59	20	0	39
"4."	"Sabres U.A"	65	22	14	1	7	0	71	32	0	39
"5."	"Ygos Stade 2"	60	22	12	2	8	0	66	37	0	29
"6."	"Sore E.S.H.L"	53	22	9	4	9	0	33	33	0	0
"7."	"Montoise E.S. 2"	52	22	10	2	9	1	55	46	0	9
"8."	"St Maurice/Gren U 2"	45	22	7	2	13	0	36	53	0	-17
"9."	"Escource F.C 2"	45	22	8	0	14	0	25	54	0	-29
"10."	"Ent. La Leyre"	42	22	6	2	14	0	29	64	0	-35
"11."	"St Pierre Du Mt Sc 3"	35	22	4	2	16	0	19	67	0	-48
"12."	"St Martin.Gel 3"	20	22	0	0	20	2	7	99	0	-92
