Code,Communes,exploitations - 2010,unités de travail annuelles (UTA) - 2010 (en équivalent temps complet),superficie agricole utilisée (SAU) - 2010 (hectares),superficie en terres labourables - 2010 (hectares),superficie en cultures permanentes - 2010 (hectares),superficie toujours en herbe - 2010 (hectares)
33001,Abzac,16,30,333,134,159,40
33002,Aillas,32,53,1620,1130,91,398
33003,Ambarès-et-Lagrave,15,17,230,N/A - secret statistique,67,33
33004,Ambès,8,14,407,313,38,57
33005,Andernos-les-Bains,0,0,0,0,0,0
33006,Anglade,30,41,803,482,222,99
33007,Arbanats,7,36,136,N/A - secret statistique,127,N/A - secret statistique
33008,Arbis,9,35,325,N/A - secret statistique,317,0
33009,Arcachon,1,1,1,N/A - secret statistique,N/A - secret statistique,0
33010,Arcins,4,85,292,N/A - secret statistique,222,N/A - secret statistique
33011,Arès,3,4,27,N/A - secret statistique,N/A - secret statistique,N/A - secret statistique
33012,Arsac,16,111,824,455,255,N/A - secret statistique
33013,Artigues-près-Bordeaux,2,4,25,0,N/A - secret statistique,N/A - secret statistique
33014,Les Artigues-de-Lussac,27,92,529,N/A - secret statistique,465,53
33015,Arveyres,36,75,584,67,417,N/A - secret statistique
33016,Asques,20,24,541,345,115,N/A - secret statistique
33017,Aubiac,4,7,160,90,0,70
33018,Aubie-et-Espessas,24,46,487,12,360,115
33019,Audenge,11,52,1515,1177,0,N/A - secret statistique
33020,Auriolles,12,18,222,0,185,38
33021,Auros,13,16,319,242,4,72
33022,Avensan,14,74,207,N/A - secret statistique,152,30
33023,Ayguemorte-les-Graves,5,18,106,0,31,N/A - secret statistique
33024,Bagas,8,10,162,55,47,N/A - secret statistique
33025,Baigneaux,11,15,183,31,105,N/A - secret statistique
33026,Balizac,6,2,17,0,0,17
33027,Barie,21,27,473,416,49,N/A - secret statistique
33028,Baron,16,,,,,
33029,Le Barp,20,83,940,786,N/A - secret statistique,43
33030,Barsac,45,286,856,71,786,0
33031,Bassanne,5,5,77,57,N/A - secret statistique,N/A - secret statistique
33032,Bassens,3,5,31,N/A - secret statistique,29,0
33033,Baurech,8,25,155,N/A - secret statistique,147,N/A - secret statistique
33034,Bayas,20,13,245,N/A - secret statistique,57,186
33035,Bayon-sur-Gironde,20,36,175,7,168,0
