UAI,NOM_LONG,NOM_COURT,INSEE_COMMUNE,NOM_COMMUNE,CONTRAT,TEL,FAX,MAIL,CHEF,ADJOINT,GESTIONNAIRE,N_ZAP,N_SECTEUR,RRS,SEGPA,UPI,SECTION_INTERNATIONAL,SECTION_EURO,TECHNO,ENS_SPE,DATEOUVERTURE,DATEFERMETURE,EFFECTIF_ANNEE_2007,EFFECTIF_ANNEE_2008,EFFECTIF_ANNEE_2009,EFFECTIF_ANNEE_2010,EFFECTIF_ANNEE_2011,EFFECTIF_ANNEE_2012,EFFECTIF_ANNEE_2013,LONGITUDE,LATITUDE,LB_ADR_L1,LB_ADR_L2,LB_ADR_L3,LB_ADR_L4_1,LB_ADR_L4_2,LB_ADR_L4_3,LB_ADR_L4_COMPLET,LB_ADR_L5,LB_ADR_L6_1,LB_ADR_L6_2,LB_ADR_L7
0331622J,Collège Fontaines De Monjous,Fontaines De Monjous,33192,GRADIGNAN                             ,PUBLIC,0556891901,0556751157,ce.0331622J@ac-bordeaux.fr,MONSIEUR TOURNERIE JACKY,MONSIEUR LIENARD EMMANUEL,MONSIEUR GUERIN JEAN-PIERRE,05,0330503,,0,,,,,,02/04/1968,,680,695,682,684,704,751,745,-0.6067576,44.7768,COLLEGE FONTAINES DE MONJOUS,,,7,,RUE FONTAINE DE MONJOUS,,BP 30130,33173,GRADIGNAN CEDEX,FRANCE
0330125G,Collège Georges Mandel,Georges Mandel,33514,SOULAC SUR MER                        ,PUBLIC,0556098324,0556098183,ce.0330125G@ac-bordeaux.fr,MADAME LAFOND SYLVIE,,MONSIEUR BAYLE LAURENT,08,0330806,,0,,,,,,01/05/1965,,325,308,286,295,311,338,325,-1.1222091,45.505756,COLLEGE GEORGES MANDEL,,,27,,RUE GEORGES MANDEL,,,33780,SOULAC SUR MER,FRANCE
0330129L,Collège Henri Dheurle,Henri Dheurle,33529,LA TESTE DE BUCH                      ,PUBLIC,0557525520,0556668957,ce.0330129L@ac-bordeaux.fr,MONSIEUR BARRAT PHILIPPE,MONSIEUR GROSSELIN RUDY,MADAME SABATIER MARIA,09,0330908,,0,2,,,,,01/05/1965,,832,861,843,778,759,765,737,-1.1370032,44.632088,COLLEGE HENRI DHEURLE,,,9,,RUE PIERRE DE COUBERTIN,,BP 102,33260,LA TESTE DE BUCH,FRANCE
0330138W,Collège Jean Aviotte,Jean Aviotte,33198,GUITRES                               ,PUBLIC,0557691265,0557692160,ce.0330138W@ac-bordeaux.fr,MONSIEUR FLOREAN CHRISTOPHE,MONSIEUR GUILMET-VIDOR LUDOVIC,MONSIEUR DESCHAMPS SYLVAIN,04,0330405,RRS,0,,,,,,01/05/1965,,379,368,378,419,440,464,471,-0.18563807,45.041653,COLLEGE JEAN AVIOTTE,,,8,,GRAND RUE,,BP 20,33230,GUITRES,FRANCE
0330146E,Collège Jules Ferry,Jules Ferry,33281,MERIGNAC                              ,PUBLIC,0556470167,0556188340,ce.0330146E@ac-bordeaux.fr,MADAME LEMONNIER ANNE-FRÉDÉRIQUE,MADAME CHADEFFAUD-HERZIG CLAIRE,MADAME LEON ODILE,07,0330704,,0,,,,,,08/12/1965,,412,391,367,471,434,459,471,-0.6500492,44.842815,COLLEGE JULES FERRY,,,1,,RUE FREDERIC JOLIOT CURIE,,BP 40129,33706,MERIGNAC CEDEX,FRANCE
0330162X,Collège Eugene Atget,Eugene Atget,33243,LIBOURNE                              ,PUBLIC,0557251331,0557256728,ce.0330162X@ac-bordeaux.fr,MONSIEUR GOURSOLLE PIERRE,,MONSIEUR GUILHEM-GUERY JACQUES,04,0330406,,0,,,,,,14/03/1977,,402,412,437,443,451,456,456,-0.24223901,44.917683,COLLEGE EUGENE ATGET,,,14,,RUE ABEL BOIREAU,,BP 108,33502,LIBOURNE CEDEX,FRANCE
0330167C,Collège Marie Bartette,Marie Bartette,33009,ARCACHON                              ,PUBLIC,0556223580,0556223586,ce.0330167C@ac-bordeaux.fr,MADAME GUERRA-DEVIGNE PATRICIA,MADAME SORIA VÉRONIQUE,MADAME MASSIP DIANE,09,0330902,,0,,,,,,14/03/1977,,476,451,459,463,471,486,452,-1.1614008,44.650925,COLLEGE MARIE BARTETTE,,,9,,AVENUE ROLAND DORGELES,,,33120,ARCACHON,FRANCE
0331511N,Collège Jeanne d'Arc St Romain,Jeanne d'Arc St Romain,33058,BLAYE                                 ,PRIVE,0557420008,0557429263,ce.0331511N@ac-bordeaux.fr,MADAME CATHERINE PADOVANI,,,10,0331001,,0,,,,,,05/04/1967,,186,165,151,167,207,216,225,-0.658717,45.12615,COLLEGE JEANNE D ARC-ST ROMAIN,,,25,,RUE ANDRE LAFON,,BP 142,33391,BLAYE CEDEX,FRANCE
0331519X,Collège St Seurin,St Seurin,33063,BORDEAUX                              ,PRIVE,0556242788,0556240121,ce.0331519X@ac-bordeaux.fr,MADAME SOPHIE LAFAYE,,,02,0330203,,0,,,,,,16/03/1967,,180,179,198,202,218,227,229,-0.5892277,44.843548,COLLEGE ST SEURIN,,,75,,RUE LACHASSAIGNE,,,33000,BORDEAUX,FRANCE
0331523B,Collège Ste Anne,Ste Anne,33069,LE BOUSCAT                            ,PRIVE,0556087922,0556085297,ce.0331523B@ac-bordeaux.fr,MADAME ROZENN LE MENN,,,02,0330208,,0,,,,,,05/04/1967,,392,399,411,412,436,450,458,-0.6068948,44.866444,COLLEGE STE ANNE,,,117,,RUE DU PRESIDENT KENNEDY,,,33110,LE BOUSCAT,FRANCE
