REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA64000079,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Cambo-les-Bains,Aquitaine,64,Cambo-les-Bains,64160,Eglise Saint-Laurent,,propriété de la commune,,L' église en totalité (cad. D 503) : inscription par arrêté du 3 septembre 2012,2012/09/03 : inscrit MH,,1ère moitié 17e siècle,,,,,,,,,,,,,,,,,,,
PA47000084,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Bias,Aquitaine,47,Bias,47027,"Domaine de Senelles, dit "" Maison des Assiettes """,,propriété de la commune,,"Le domaine composé du logis, de l' ancienne orangerie, de l' ancienne "" chapelle "", des communs et de la grange (cad. AC 74) : inscription par arrêté du 26 novembre 2012",2012/11/26 : inscrit MH,,4e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA47000083,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Lauzun,Aquitaine,47,Lauzun,47142,"Eglise Saint-Pastour, dite de Queyssel",,propriété de la commune,,"L' église en totalité, avec le portail et le mur de son cimetière (cad. H 970) : inscription par arrêté du 3 septembre 2012",2012/09/03 : inscrit MH,,4e quart 11e siècle , 12e siècle , 13e siècle,,,,,,,,,,,,,,,,,
PA47000082,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Cahuzac,Aquitaine,47,Cahuzac,47044,Eglise Saint-Martin,,propriété de la commune,,L' église en totalité (cad. A 125) : inscription par arrêté du 3 septembre 2012,2012/09/03 : inscrit MH,,1ère moitié 16e siècle,,,,,,,,,,,,,,,,,,,
PA47000081,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Sainte-Livrade-sur-Lot,Aquitaine,47,Sainte-Livrade-sur-Lot,47252,Camp du Moulin du Lot,,propriété de la commune,,"Le quartier nord-ouest du camp, composé de quatre barres, de la pagode et son monument cultuel, ainsi que la madone dans son cadre végétal, en totalité (cad. AS 141) : inscription par arrêté du 29 juin 2012",2012/06/29 : inscrit MH,,20e siècle,,,,,,,,,,,,,,,,,,,
PA40000078,recensement immeubles MH,Aquitaine , Landes , Siest,Aquitaine,40,Siest,40301,"Château de Lasalle, ancienne caverie",,propriété d'une personne privée,,"Le château en totalité, avec ses communs et ses bâtiments d' exploitation (cad. B 47, 48) : inscription par arrêté du 10 janvier 2012",2012/01/10 : inscrit MH,,12e siècle , 17e siècle , 18e siècle,,,,,,,,,,,,,,,,,
PA40000077,recensement immeubles MH,Aquitaine , Landes , Biscarrosse,Aquitaine,40,Biscarrosse,40046,Ancienne vigie de l'hydrobase des Hourtiquets,,propriété de l'Etat,affecté au ministère chargé de la défense,"La partie implantée sur la berge nord de l' ancienne hydrobase comprenant les bâtiments de la vigie avec son annexe, le treuil et son cabestan, et le sol de l' ancien hangar, en totalité (cad. AR 101) : inscription par arrêté du 1er février 2012",2012/02/01 : inscrit MH,Lemaire René (ingénieur) , Bassompierre (architecte) , de Rutté (architecte) , Sirvin (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,
PA33000166,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Hôtel Lecomte de Latresne,Cheverus (rue de) 8,propriété d'une société privée,,L' hôtel en totalité (cad. KJ 293) : inscription par arrêté du 29 novembre 2012,2012/11/29 : inscrit MH,Portier André (architecte),milieu 18e siècle,,,,,,,,,,,,,,,,,,,
PA33000165,recensement immeubles MH,Aquitaine , Gironde , Espiet,Aquitaine,33,Espiet,33157,Eglise Notre-Dame,,propriété de la commune,,"L' église (cad. AC 275) et la croix de cimetière (cad. AC 276), en totalité : inscription par arrêté du 7 mars 2012",2012/03/07 : inscrit MH,,12e siècle , 16e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA33000164,recensement immeubles MH,Aquitaine , Gironde , Saint-Julien-Beychevelle,Aquitaine,33,Saint-Julien-Beychevelle,33423,Château Gruaud-Larose,,propriété d'une société privée,,"Le château en totalité, ainsi que la tour (cad. D 189) en totalité, et le hangar agricole (cad. D 167) également en totalité : inscription par arrêté du 22 février 2012",2012/02/22 : inscrit MH,,milieu 18e siècle,,,,,,,,,,,,,,,,,,,
PA33000163,recensement immeubles MH,Aquitaine , Gironde , Saint-Emilion,Aquitaine,33,Saint-Emilion,33394,Logis de Malet,Écoles (rue des) , Pierre-Meyrat (place),propriété de la commune,,Le logis en totalité (cad. AP 248) : inscription par arrêté du 26 novembre 2012,2012/11/26 : inscrit MH,,Moyen Age , 18e siècle,,,,,,,,,,,,,,,,,
PA33000162,recensement immeubles MH,Aquitaine , Gironde , La Réole,Aquitaine,33,Réole (La),33352,Hôtel Peysseguin,Peysseguin (rue) 9,propriété de la commune,,"L' hôtel et sa cour arrière, en totalité (cad. AO 225 à 228) : inscription par arrêté du 26 novembre 2012",2012/11/26 : inscrit MH,,Moyen Age , 19e siècle,,,,,,,,,,,,,,,,,,
PA33000161,recensement immeubles MH,Aquitaine , Gironde , Gradignan,Aquitaine,33,Gradignan,33192,"Fours "" bouteille """,,propriété de la commune,,"Les fours "" bouteille "", les bâtiments industriels et la parcelle les contenant (cad. BY 26) : inscription par arrêté du 26 novembre 2012",2012/11/26 : inscrit MH,,4e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000160,recensement immeubles MH,Aquitaine , Gironde , Gradignan,Aquitaine,33,Gradignan,33192,Tour du télégraphe Chappe,,propriété de l'Etat,,La tour du télégraphe en totalité (cad. BE 79) : inscription par arrêté du 26 novembre 2012,2012/11/26 : inscrit MH,,1ère moitié 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000159,recensement immeubles MH,Aquitaine , Gironde , Cussac-Fort-Médoc,Aquitaine,33,Cussac-Fort-Médoc,33146,Château Bernones,,propriété d'une personne privée,,"Le château en totalité, ainsi que son jardin, ses murs de clôture, ainsi que les niches, à l' exclusion des dépendances viticoles (cad. ZM 61 à 63, 65, 81, 86) : inscription par arrêté du 22 février 2012",2012/02/22 : inscrit MH,,2e moitié 18e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA33000158,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Maison construite pour Jean-Jacques Bosc,Chai-des-Farines (rue du) 7,propriété privée,,La maison en totalité (cad. KL 178) : inscription par arrêté du 7 mars 2012,2012/03/07 : inscrit MH,Thiac Jean-Baptiste (architecte),1er quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000157,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Hôtel de Bryas,Charles-Gruet (rue) 15,propriété d'une société privée,,"L' hôtel avec son jardin, en totalité (cad. KT 112) : inscription par arrêté du 7 mars 2012",2012/03/07 : inscrit MH,Durand Gabriel-Joseph (architecte),1er quart 19e siècle , 1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,
PA33000156,recensement immeubles MH,Aquitaine , Gironde , Bazas,Aquitaine,33,Bazas,33036,Hôtel de Bourges,,propriété d'une personne privée , propriété de la commune,,"L' hôtel en totalité avec sa façade sur la place, la cour intérieure, les caves, la rampe conduisant à la place et la grille d' accès située sur cette place (cad. AB 367) : inscription par arrêté du 7 mars 2012",2012/03/07 : inscrit MH,,Moyen Age,,,,,,,,,,,,,,,,,,
PA33000155,recensement immeubles MH,Aquitaine , Gironde , Avensan,Aquitaine,33,Avensan,33022,Château Citran,,propriété d'une société privée,,"Le château en totalité, avec ses bâtiments agricoles (façades et toitures), son parc et les éléments qu' il contient : portails, ponts et pigeonnier (cad. A 844, 847, 848, 852 à 855, 4031) : inscription par arrêté du 22 février 2012",2012/02/22 : inscrit MH,Brun Pierre-Charles (architecte),3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000154,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Le-Corbusier (rue) 7,propriété d'une personne privée,,La maison en totalité (cad. CS 127) : inscription par arrêté du 22 février 2012,2012/02/22 : inscrit MH,Le Corbusier (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,,
PA33000153,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Arcades (rue des) 5,propriété d'une personne privée,,La maison en totalité (cad. CS 199) : inscription par arrêté du 22 février 2012,2012/02/22 : inscrit MH,Le Corbusier (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,,
PA24000079,recensement immeubles MH,Aquitaine , Dordogne , Besse,Aquitaine,24,Besse,24039,Château de Besse,,propriété d'une société privée,,"Le château, son pédiluve ainsi que le sol d' assiette, en totalité (cad. C 72 à 77) : inscription par arrêté du 22 février 2012",2012/02/22 : inscrit MH,,16e siècle , 17e siècle,,,,,,,,,,,,,,,,,,
PA64000078,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , La Bastide-Clairence,Aquitaine,64,Bastide-Clairence (La),64289,"Ancien Jeu de Paume, actuel trinquet",Notre-Dame (rue),propriété d'un établissement public,,"L' ancien Jeu de Paume et la demeure contiguë, dite "" maison Garchot "" indissociable de celui-ci, en totalité (cad. A 374) : inscription par arrêté du 8 septembre 2011",2011/09/08 : inscrit MH,,limite 17e siècle 18e siècle , 2e quart 19e siècle , 1er quart 20e siècle,,,,,,,,,,,,,,,,,
PA33000152,recensement immeubles MH,Aquitaine , Gironde , Saint-Laurent-Médoc,Aquitaine,33,Saint-Laurent-Médoc,33424,Château Balac,,propriété d'une personne privée,,Le château en totalité , les façades et toitures des bâtiments agricoles ," l' allée d' arrivée et l' ensemble clos de mur, à l' exception de la piscine (cad. AX 13, 15 à 18, 22, 309, 310) : inscription par arrêté du 25 octobre 2011",2011/10/25 : inscrit MH,,4e quart 18e siècle,,,,,,,,,,,,,,,,,
