FID,sous_type,iden,shape
odt_det_pdipr.1,Voie de Vezelay,1675,"MULTILINESTRING ((-0.0205848799999444 44.603812875000074, -0.0209657509999488 44.60298593200008, -0.0210837679999258 44.602497534000065, -0.0211964939999802 44.601883282000074, -0.021375528999954 44.601348588000064))"
odt_det_pdipr.2,Voie de Tours,1888,"MULTILINESTRING ((-0.5556630559999576 45.25841447300007, -0.5560100839999791 45.25822541000008, -0.5565258629999335 45.25809497100005, -0.5576012259999743 45.25794096700008, -0.5582801229999745 45.25776126400007, -0.5587416929999449 45.25756921200008, -0.559146716999976 45.25727060600008, -0.5596460539999271 45.25682551300008, -0.5606177849999767 45.25615206600003, -0.5607488749999447 45.255977614000074, -0.5608352059999788 45.255678302000035, -0.5609926879999421 45.25552116600005, -0.5612397349999583 45.255370699000025, -0.5619030429999725 45.25513736800008, -0.562200996999934 45.254985572000066, -0.5641641999999365 45.25304398000003, -0.5644508179999548 45.25291947900007, -0.5649165589999257 45.252808308000056, -0.5660496719999628 45.25351689900003, -0.566975407999962 45.254158877000066, -0.5675382009999339 45.254684300000065, -0.5684848339999462 45.25377738600008, -0.5680752399999278 45.25325697000005, -0.568157742999972 45.253128788000026, -0.5695672659999786 45.251570635000064, -0.5702799989999789 45.25106590200005, -0.5706702929999778 45.25097468200005, -0.570723563999934 45.250775246000046, -0.5709389849999411 45.250508558000035, -0.5708956239999452 45.250410670000065, -0.5708678389999591 45.24963722900003, -0.5699072499999716 45.24905920900005, -0.5696937389999448 45.248875748000046, -0.5695928839999738 45.24865333500003, -0.5695745209999359 45.24830273900005, -0.5686219699999242 45.24787753100003, -0.5693526129999782 45.246742201000075, -0.5702505319999318 45.24588155300006, -0.570596018999936 45.245665476000056, -0.5713850139999295 45.24540179400003, -0.5721136719999436 45.24520269800007, -0.5725387989999717 45.24504754600008, -0.5729380019999439 45.24488406800003, -0.5733593529999439 45.24465699600006, -0.574664835999954 45.24330854100003, -0.5754118059999769 45.24248780800008, -0.5758406509999645 45.241918456000064, -0.5759961349999685 45.24123923600007, -0.5761389369999392 45.24128950800008, -0.5761492569999405 45.24051507000007, -0.5762255719999416 45.24002696500003, -0.5764569199999414 45.239336757000046, -0.5767509379999751 45.23862690200008, -0.576996903999941 45.238215369000045, -0.5771566309999798 45.23786010800006, -0.5773300039999754 45.237279439000076, -0.5773912219999602 45.23674672000004, -0.5773892919999639 45.23622465900007, -0.5772836879999659 45.235669305000044, -0.577120587999957 45.23498943300007, -0.5768368489999602 45.23419569600003, -0.5765404109999395 45.23364534400008, -0.5764654569999266 45.23318821000004, -0.5765554259999703 45.23271775200004, -0.5766472819999535 45.23228325300005, -0.576561020999975 45.23185342000005, -0.5762226429999373 45.230989100000045, -0.5756095659999687 45.22998794500006, -0.5752316439999277 45.22934070400004, -0.5750898069999266 45.22906535900006, -0.5749564489999557 45.228708776000076, -0.5744894779999754 45.22757776200007, -0.5742713199999798 45.22730441600004, -0.5739989799999421 45.22696947500003, -0.5737195779999524 45.226742741000066, -0.5735975329999405 45.225872751000054, -0.5733996429999593 45.22525680000007, -0.5739320359999738 45.22520685500007))"
odt_det_pdipr.3,Circuit départemental,1889,"MULTILINESTRING ((-0.3795907299999612 44.31683730800006, -0.3824205409999308 44.31002783000008, -0.3824493279999501 44.309325304000026, -0.3829950419999477 44.30816904900007, -0.3822277109999277 44.308107146000054, -0.3809515839999449 44.30814785600006, -0.3801665459999413 44.30797840900004, -0.3794371979999482 44.30792454200008, -0.3786491689999707 44.307953104000035, -0.3778606799999693 44.30771174600005, -0.3771960759999615 44.30770124400004, -0.3764503299999546 44.30756678600005, -0.3758133509999766 44.30760957500007, -0.3753291459999559 44.30770255900006, -0.3746550519999801 44.30775526000008, -0.3736534069999493 44.30803201400005, -0.3728036639999459 44.308340986000076, -0.3720160569999393 44.30837848700003, -0.371630669999945 44.308442015000026, -0.36986079899998 44.308899706000034, -0.3690662709999515 44.309054324000044, -0.3684508529999562 44.30902455800003, -0.3669856929999469 44.30878185900008, -0.3666581369999449 44.30874496700005, -0.3660021619999725 44.30865320600003, -0.3656750379999494 44.30862529800004, -0.3653164249999463 44.308463205000066, -0.3646579079999697 44.308056588000056, -0.3632377299999803 44.307443834000026, -0.3573664639999379 44.30545620200007, -0.3560406609999518 44.30734232000003, -0.3552794919999656 44.30845874200003, -0.3548532169999703 44.309503937000045, -0.3544730509999567 44.31072794500005, -0.3544160449999367 44.31084631500005, -0.3484251419999396 44.308978108000076, -0.3468522479999478 44.30857583300008, -0.3391950609999412 44.30617217200006, -0.3386086349999573 44.30754511900005, -0.3380186609999782 44.30831532500008, -0.3371259999999552 44.30930886500005, -0.3366301519999411 44.30995080000008, -0.3359408469999607 44.31074141600004, -0.335798150999949 44.31116778000006, -0.3346444219999398 44.313265356000045, -0.3340028139999731 44.31427073300006, -0.333475716999942 44.31504837700004, -0.3333049779999442 44.315412440000046, -0.3332851829999299 44.31658258300007, -0.3327717279999547 44.318178654000064, -0.3318817959999478 44.31923506500004, -0.3313011499999448 44.319942026000035, -0.3304531599999336 44.32082645200006, -0.328928914999949 44.32145742600005, -0.3280763979999506 44.32198204600007, -0.3238689189999491 44.32551244500007))"
odt_det_pdipr.4,Jonction,1890,"MULTILINESTRING ((-0.2460013509999612 44.55630479700005, -0.245433577999961 44.55627315100003))"
odt_det_pdipr.5,Equestre,1891,"MULTILINESTRING ((-0.1418396739999252 44.55974748600005, -0.141624075999971 44.55999528900003, -0.1416600509999739 44.560525347000066))"
odt_det_pdipr.6,Equestre,1892,"MULTILINESTRING ((-0.1416600509999739 44.560525347000066, -0.141222384999935 44.56058920400005, -0.1400491539999393 44.560525676000054, -0.1393057769999473 44.56050643800006, -0.138966312999969 44.56051408600007, -0.1382963919999725 44.56044819700003, -0.1377549729999714 44.56044239500005, -0.1369341809999582 44.56037989500004, -0.1362395149999429 44.56032354900003, -0.1354804039999635 44.56023265600004, -0.1346568499999421 44.56010721700005, -0.1336922319999303 44.559921959000064, -0.1327519759999518 44.55971815000004, -0.132332733999931 44.55962859500005, -0.1317197689999716 44.55942642100007))"
odt_det_pdipr.7,Boucle locale,462,"MULTILINESTRING ((-0.2855118209999432 45.067889465000064, -0.28530079199993 45.06772345100006, -0.2848825459999489 45.06747233400006, -0.2844558499999721 45.06731141700004, -0.2840190099999518 45.06720474100007, -0.2834168249999607 45.06709297000003, -0.2823748479999608 45.067081588000065, -0.2815493859999378 45.067083085000036, -0.2807860889999461 45.06705610600005, -0.2800841119999404 45.06698267400003, -0.2788493069999731 45.066921809000064, -0.2785680949999687 45.06688344100007, -0.2782847719999495 45.066800122000075, -0.2768000459999484 45.06682613000004, -0.2748124649999681 45.067232974000035, -0.27381177999996 45.06539349500008, -0.2734395849999487 45.06585227000005, -0.2728303799999594 45.067486649000045, -0.2726184549999289 45.06784264500004, -0.2719442309999636 45.06863252800008, -0.2712192399999367 45.069423603000075, -0.2709489699999494 45.06961896400003, -0.270364466999979 45.06988471500006, -0.2699457339999754 45.07016456700006, -0.2693647109999802 45.069962220000036, -0.2691510709999534 45.07028224800007, -0.2684504869999387 45.071324735000076, -0.2673572639999406 45.07130541500004, -0.2669999129999496 45.071268806000035, -0.2668433119999349 45.07172249300004, -0.2664309289999664 45.07186717900004, -0.2662989309999375 45.07203228100008, -0.2662514669999609 45.07237540300008, -0.26634727499993 45.07306617000006, -0.2669522139999572 45.074050990000046, -0.2669288659999438 45.07436654600008, -0.2664497009999422 45.07579983000005, -0.2658982119999678 45.07568677300003, -0.2652887459999533 45.07569207600005, -0.2646272669999803 45.07567159400003, -0.2640516659999434 45.07558609400007, -0.2633327159999794 45.075422950000075, -0.2626898989999518 45.07525801600008, -0.2620441489999621 45.075030147000064, -0.2615810749999241 45.07490599500005, -0.261147153999957 45.074862161000055, -0.2599032829999714 45.074882295000066, -0.2590654359999576 45.07489291100006, -0.2579894449999642 45.07497209600007, -0.2564934769999354 45.07503409100008, -0.2558484649999286 45.07509417400007, -0.2548980929999516 45.07514339100004, -0.2528924899999652 45.07517224600008))"
odt_det_pdipr.8,Boucle locale,463,"MULTILINESTRING ((-0.2608908999999358 45.038066600000036, -0.2605219249999777 45.03804824800005, -0.2597523299999693 45.03787728100008, -0.2591991359999497 45.03771924000006, -0.2590461389999632 45.03770482400006, -0.2588321449999285 45.038015839000025, -0.2584708999999634 45.03870830500006, -0.2582183239999267 45.039281224000035, -0.2578244659999314 45.04009145300006, -0.2573350149999669 45.04102991900004, -0.2570701539999618 45.04161212400004, -0.2565243869999563 45.04270490500005, -0.2560625979999713 45.04314771300005, -0.2558439629999612 45.04335982900005, -0.2556937529999459 45.043678346000036, -0.2552441829999452 45.04329285800003, -0.2548284799999578 45.042816575000074, -0.2543029719999481 45.04216285800004, -0.2526572109999279 45.04499134400004, -0.2528599739999322 45.045256609000035, -0.2531566669999279 45.04535767700003, -0.2535146789999772 45.045412311000064, -0.2535978769999474 45.045563368000046, -0.2535194189999288 45.04606020500006, -0.2535421359999646 45.04627567600005, -0.2535619289999431 45.04724722200007, -0.2533714199999508 45.047791680000046, -0.2529569479999623 45.04816136800008, -0.2526644199999737 45.048150202000045, -0.2513229059999276 45.047695532000034, -0.2509948409999652 45.04773919100006, -0.250443354999959 45.04816606900005, -0.2499676919999274 45.04831217200007, -0.2482519889999253 45.048001198000065, -0.2479860789999293 45.04801640000005, -0.2477869179999743 45.048102045000064, -0.2474595139999565 45.04843368100006, -0.2472310629999583 45.04870900800006, -0.2470797089999337 45.04873053800003, -0.2456116429999611 45.048557749000054, -0.2449361429999612 45.04850148500003, -0.2445282239999642 45.04846598600005, -0.2442192649999697 45.048374179000064, -0.2440211139999633 45.048207793000074, -0.2439007239999569 45.04807559600005, -0.2437333549999607 45.04802549200008, -0.2427096139999776 45.04785132100005, -0.2423574259999555 45.047922517000075, -0.2420923469999252 45.047955685000034, -0.2401594369999316 45.047613639000076, -0.2395756409999308 45.04761821200003, -0.2391431989999546 45.04760126300005, -0.2391271899999765 45.04807863600007, -0.237446441999964 45.04907168700004, -0.234078641999929 45.049824853000075, -0.2324793069999487 45.05038393700005, -0.2319977739999786 45.05040409800006, -0.2300594539999565 45.049945001000026, -0.2293307369999411 45.04983587400005, -0.2284662389999426 45.049810885000056, -0.2279602819999695 45.049300593000055, -0.2278709379999668 45.04901466100006, -0.2276474689999759 45.04884883200003, -0.2275217359999715 45.04859974100003, -0.2271710309999548 45.04842785400007, -0.2271009959999333 45.04828547400007, -0.226840726999967 45.04814749500008, -0.2261027949999743 45.047561562000055, -0.2253538519999552 45.047011878000035, -0.2247722689999705 45.04651232300006, -0.2242647219999299 45.04596605300003, -0.2237440889999789 45.04541108400008, -0.2230827289999411 45.04483236400006, -0.2224074629999677 45.04422696100005))"
odt_det_pdipr.9,Boucle locale,464,"MULTILINESTRING ((-0.246871050999971 45.00564343000008, -0.2470190159999674 45.00746696400006, -0.2467220219999717 45.00817588600006, -0.2463841859999434 45.00800376800004, -0.2457976469999608 45.007666448000066, -0.2452410429999645 45.00742742700004, -0.2446755189999408 45.00726961100003, -0.2440175389999695 45.00703294600004, -0.2438278619999323 45.007046366000054, -0.2427359079999292 45.00702680300003, -0.242420746999926 45.00707014200003, -0.2417833559999281 45.00700398300006, -0.241480279999962 45.00785703100007, -0.2416727749999268 45.01037252700007, -0.2407484249999356 45.01041204000006, -0.2395562629999404 45.010421775000054, -0.237503515999947 45.01102749700004, -0.2367673799999466 45.01129660000004, -0.2362865999999713 45.01132576900005, -0.2359047199999509 45.011298640000064, -0.2357362249999255 45.01122155300004, -0.2353298289999657 45.011212991000036, -0.2346126209999397 45.011067645000026, -0.2339795739999317 45.01082134300003, -0.2335734159999561 45.010542772000065, -0.2331186999999772 45.00976133300003, -0.232860905999928 45.00939831800008, -0.2332316359999709 45.008633727000074, -0.2334634869999377 45.00870934500006, -0.2336012369999594 45.00867014900007, -0.2337479269999676 45.00854974600003, -0.2338977529999511 45.00822227400005, -0.2344839019999654 45.00745267700006))"
odt_det_pdipr.10,Boucle locale,465,"MULTILINESTRING ((-0.2608908999999358 45.038066600000036, -0.2603296279999654 45.03909676400008, -0.2600771759999248 45.039399683000056, -0.2600508699999296 45.03965230100005, -0.2599751019999417 45.039933079000036, -0.2619400339999629 45.04014802300003, -0.2618134539999346 45.04069999600006, -0.2634691419999626 45.04054416000008, -0.2636755659999608 45.04007131100008, -0.2651993989999255 45.041169557000046, -0.2658631469999477 45.04070396600008, -0.2661704969999619 45.04048974500006, -0.2663134199999604 45.04028838500005, -0.2662661359999561 45.040091493000034, -0.2660818899999526 45.039951819000066, -0.2659500449999541 45.039846915000055, -0.2659806029999459 45.03941419200004, -0.2662557849999416 45.03932672800005, -0.2667592839999315 45.03896389600004, -0.2672966859999519 45.038240261000055, -0.2684204409999324 45.03865485400007, -0.2688393649999625 45.038384001000054, -0.2692468679999251 45.03814041600003, -0.2693513119999693 45.03793095700007, -0.2701112029999422 45.03816508800003, -0.2706130389999544 45.037496272000055, -0.2707931349999626 45.03727603200008, -0.2718226629999663 45.03757580700005, -0.2726301389999435 45.03638678000004, -0.2711893619999728 45.03624969500004, -0.271152797999946 45.03519754300004, -0.2709504049999509 45.03494130200005, -0.2689148849999583 45.035385190000056, -0.267355969999926 45.03462082800007, -0.2670073319999346 45.03449401900008, -0.2680493879999517 45.033434517000046, -0.2680540799999562 45.03326340500007, -0.2689547569999604 45.03298122600006, -0.2696217419999698 45.03258753500006, -0.2697849399999654 45.032277693000026, -0.2699168909999798 45.03184258500005, -0.2699909169999728 45.03152584000003, -0.2709853539999472 45.03134943800006, -0.2709790429999543 45.03121458600003, -0.2707255309999255 45.03095054900007, -0.2704526129999749 45.03054296700003, -0.2704780809999647 45.03000236200006, -0.2706920899999545 45.02915131700007, -0.2711237699999742 45.02807014700005, -0.271089156999949 45.027872959000035, -0.2708893159999661 45.02767066100006, -0.270616777999976 45.02754207400005, -0.2700501349999627 45.027366405000066, -0.2694463059999634 45.02720960900007, -0.2689747199999601 45.027166701000056, -0.2684760329999563 45.02735843000005, -0.2679601079999543 45.02718155800005, -0.2673525049999626 45.02694383900007, -0.2668006579999656 45.026812806000066, -0.2665367689999698 45.026767033000056, -0.267055480999943 45.02520480700008, -0.267526628999974 45.02523873300004, -0.268355253999971 45.02531825300008, -0.2691429079999352 45.02533573000005, -0.2699347679999278 45.02544310300004, -0.2703526889999352 45.02542426900004, -0.2714095579999594 45.02522839300008, -0.2722289269999578 45.02511010000006, -0.2730588659999285 45.024946552000074, -0.2739336079999362 45.02465594000006, -0.2746198759999743 45.02440576500004, -0.2748793439999417 45.024255647000075, -0.2751151449999725 45.02414208700003, -0.2751329129999362 45.02397966600006, -0.2750522499999306 45.023612565000064, -0.2750717379999514 45.02321610100006, -0.2755805449999684 45.022700100000066, -0.2760639609999771 45.02245469700006, -0.276138360999937 45.02214694000003, -0.2759816389999514 45.021781633000046))"
